unique(Item_Code),item_name,energy_kJ,vita_rae_mcg,thia_mcg,ribo_mcg,nia_mcg,b6_mcg,fol_mcg,vb12_mcg,iron_mg,zinc_mg
101,Rice-PDS(Kg),1491,,,,,,,,,
102,Rice-other sources(Kg),1491,,,,,,,,,
103,Chira(Kg),1480,,,,,,,,,
104,"Khoi, lava(Kg)",1514,,,,,,,,,
105,Muri(Kg),1514,,,,,,,,,
106,Other rice products(Kg),1490,,,,,,,,,
107,Wheat/atta - P.D.S (Kg),1340,,,,,,,,,
108,Wheat/atta - other sources,1340,,,,,,,,,
110,Maida(Kg),1472,,,,,,,,,
111,"suji, rawa(Kg)",1396,,,,,,,,,
112,"sewai, noodles(Kg)",1392,,,,,,,,,
113,bread(bakery)(Kg),,,,,,,,,,
114,other wheat products(Kg),,,,,,,,,,
115,jowar & products(Kg),,,,,,,,,,
116,"	bajra & products(Kg)",,,,,,,,,,
117,maize & products(Kg),,,,,,,,,,
118,barley & products(Kg),,,,,,,,,,
120,small millet & products(Kg),,,,,,,,,,
121,ragi & products(Kg),,,,,,,,,,
122,other cereals(Kg),,,,,,,,,,
129,Cereal(s.t),,,,,,,,,,
139,Cereal Substitute : tapioca etc.,,,,,,,,,,
140,arhar (tur)(Kg),,,,,,,,,,
141,gram : split Kg,,,,,,,,,,
142,gram : whole Kg,,,,,,,,,,
143,moong(Kg),,,,,,,,,,
144,masur(Kg),,,,,,,,,,
145,urd(Kg),,,,,,,,,,
146,peas(Kg),,,,,,,,,,
147,khesari(Kg),,,,,,,,,,
148,other pulses(Kg),,,,,,,,,,
150,gram products(kg),,,,,,,,,,
151,besan(Kg),,,,,,,,,,
152,other pulse products(Kg),,,,,,,,,,
159,Pulses and Pulse Products(s.t),,,,,,,,,,
160,milk : liquid(litre),,,,,,,,,,
161,baby food(Kg),,,,,,,,,,
162,milk : cond./powder(Kg),,,,,,,,,,
163,curd(Kg),,,,,,,,,,
164,ghee(Kg),,,,,,,,,,
165,"	butter(Kg)",,,,,,,,,,
166,ice cream (no.),,,,,,,,,,
167,other milk products(Kg),,,,,,,,,,
169,Milk & Milk Products : s.t (160-167),,,,,,,,,,
170,salt,,,,,,,,,,
171,sugar - PDS,,,,,,,,,,
172,sugar - other sources,,,,,,,,,,
173,gur,,,,,,,,,,
174,"candy,misri",,,,,,,,,,
175,honey,,,,,,,,,,
179,salt & sugar : s.t(170-175),,,,,,,,,,
180,"vanaspati,margarine(Kg)",,,,,,,,,,
181,mustard oil(Kg),,,,,,,,,,
182,groundnut - oil (Kg),,,,,,,,,,
183,coconut oil(Kg),,,,,,,,,,
184,"refined oil [sunflower,soyabean,saffola, etc]",,,,,,,,,,
185,edible oil : others,,,,,,,,,,
189,edible oil : s.t.(180-185),,,,,,,,,,
190,eggs(no),,,,,,,,,,
191,"fish, prawn(Kg)",,,,,,,,,,
192,goat meat /mutton(Kg),,,,,,,,,,
193,beef / buffalo meat(Kg),,,,,,,,,,
194,pork(Kg),,,,,,,,,,
195,chicken(Kg),,,,,,,,,,
196,"others ( birds, crab, oyster, tortoise etc",,,,,,,,,,
199,"Egg,Fish & meat : s.t (190-196)",,,,,,,,,,
200,potato(Kg),,,,,,,,,,
201,onion(Kg),,,,,,,,,,
202,tomato(Kg),,,,,,,,,,
203,brinjal(Kg),,,,,,,,,,
204,radish(Kg),,,,,,,,,,
205,carrot(Kg),,,,,,,,,,
206,palak/other leafy vegetables(Kg),,,,,,,,,,
207,green chillies(Kg),,,,,,,,,,
208,lady's finger(Kg),,,,,,,,,,
210,"parwal/patal,kundru(Kg)",,,,,,,,,,
