SUBJECT,HOUSEHOLD,SEX,AGE_YEAR,CONSUMPTION_DAY,WEEK_DAY,PREG_LACT,BREASTFEEDING,sum_ENERGY_kcal,WEEKEND,adm2_,adm2_7,adm2_9,adm2_3,adm2_6,adm2_8,adm2_1,adm2_4,adm2_10,adm2_5,adm2_2
44,11566,1,21,8,3,NA,NA,1994,0,7,1,0,0,0,0,0,0,0,0,0
65,5737,1,58,9,5,NA,NA,2204,0,9,0,1,0,0,0,0,0,0,0,0
100,10449,1,25,18,7,NA,NA,2356,1,3,0,0,1,0,0,0,0,0,0,0
141,1029,1,60,24,4,NA,NA,1483,0,6,0,0,0,1,0,0,0,0,0,0
164,10142,1,65,19,7,NA,NA,742,1,8,0,0,0,0,1,0,0,0,0,0
199,10493,1,65,8,3,NA,NA,2413,0,7,1,0,0,0,0,0,0,0,0,0
263,4882,1,55,22,4,NA,NA,1900,0,3,0,0,1,0,0,0,0,0,0,0
352,6504,1,18,10,2,NA,NA,1848,0,3,0,0,1,0,0,0,0,0,0,0
396,10541,1,50,9,5,NA,NA,2277,0,9,0,1,0,0,0,0,0,0,0,0
497,8890,1,48,1,6,NA,NA,1603,0,9,0,1,0,0,0,0,0,0,0,0
517,2139,1,22,1,1,NA,NA,2863,1,6,0,0,0,1,0,0,0,0,0,0
523,3367,1,23,20,2,NA,NA,2743,0,1,0,0,0,0,0,1,0,0,0,0
549,4066,1,30,4,2,NA,NA,3552,0,1,0,0,0,0,0,1,0,0,0,0
570,8256,1,50,26,2,NA,NA,2285,0,4,0,0,0,0,0,0,1,0,0,0
576,3784,1,21,2,5,NA,NA,3115,0,8,0,0,0,0,1,0,0,0,0,0
597,7013,1,24,7,2,NA,NA,1445,0,7,1,0,0,0,0,0,0,0,0,0
607,6151,1,32,29,6,NA,NA,2523,0,6,0,0,0,1,0,0,0,0,0,0
667,3784,1,49,2,5,NA,NA,3599,0,8,0,0,0,0,1,0,0,0,0,0
693,7013,1,45,7,2,NA,NA,2014,0,7,1,0,0,0,0,0,0,0,0,0
701,6046,1,38,28,6,NA,NA,3113,0,1,0,0,0,0,0,1,0,0,0,0
733,2209,1,22,4,2,NA,NA,1399,0,10,0,0,0,0,0,0,0,1,0,0
738,8762,1,42,30,1,NA,NA,2188,1,5,0,0,0,0,0,0,0,0,1,0
858,4117,1,40,9,5,NA,NA,2255,0,9,0,1,0,0,0,0,0,0,0,0
890,8592,1,35,8,6,NA,NA,3000,0,10,0,0,0,0,0,0,0,1,0,0
962,2716,1,24,26,2,NA,NA,1714,0,4,0,0,0,0,0,0,1,0,0,0
968,4282,1,35,12,6,NA,NA,1714,0,7,1,0,0,0,0,0,0,0,0,0
1108,206,1,76,8,6,NA,NA,2192,0,10,0,0,0,0,0,0,0,1,0,0
1139,5556,1,34,10,6,NA,NA,1808,0,8,0,0,0,0,1,0,0,0,0,0
1148,5072,1,40,21,5,NA,NA,1734,0,10,0,0,0,0,0,0,0,1,0,0
1179,9297,1,28,7,6,NA,NA,3274,0,3,0,0,1,0,0,0,0,0,0,0
1229,11497,1,68,23,4,NA,NA,1510,0,7,1,0,0,0,0,0,0,0,0,0
1243,4677,1,24,2,5,NA,NA,2565,0,8,0,0,0,0,1,0,0,0,0,0
1246,10842,1,26,7,3,NA,NA,2147,0,5,0,0,0,0,0,0,0,0,1,0
1247,8425,1,55,21,2,NA,NA,1081,0,8,0,0,0,0,1,0,0,0,0,0
1260,1592,1,66,31,3,NA,NA,2769,0,8,0,0,0,0,1,0,0,0,0,0
1263,1425,1,55,23,5,NA,NA,1898,0,8,0,0,0,0,1,0,0,0,0,0
1287,11081,1,60,22,5,NA,NA,2018,0,1,0,0,0,0,0,1,0,0,0,0
1310,4788,1,50,12,2,NA,NA,2066,0,7,1,0,0,0,0,0,0,0,0,0
1319,7988,1,28,30,6,NA,NA,2374,0,5,0,0,0,0,0,0,0,0,1,0
1357,1420,1,65,24,4,NA,NA,2667,0,6,0,0,0,1,0,0,0,0,0,0
1362,4911,1,35,6,5,NA,NA,1664,0,3,0,0,1,0,0,0,0,0,0,0
1368,9411,1,42,16,2,NA,NA,1389,0,3,0,0,1,0,0,0,0,0,0,0
1423,8069,1,70,8,3,NA,NA,2833,0,7,1,0,0,0,0,0,0,0,0,0
1441,126,1,24,26,5,NA,NA,1924,0,1,0,0,0,0,0,1,0,0,0,0
1444,7549,1,60,19,3,NA,NA,1382,0,10,0,0,0,0,0,0,0,1,0,0
1449,10230,1,52,7,5,NA,NA,1306,0,9,0,1,0,0,0,0,0,0,0,0
1478,10230,1,32,7,5,NA,NA,976,0,9,0,1,0,0,0,0,0,0,0,0
1519,7267,1,22,14,2,NA,NA,1414,0,4,0,0,0,0,0,0,1,0,0,0
1522,5084,1,60,2,3,NA,NA,2094,0,2,0,0,0,0,0,0,0,0,0,1
1548,2540,1,27,3,1,NA,NA,1731,1,9,0,1,0,0,0,0,0,0,0,0
1573,10547,1,42,14,1,NA,NA,1972,1,7,1,0,0,0,0,0,0,0,0,0
1623,7504,1,30,23,4,NA,NA,932,0,8,0,0,0,0,1,0,0,0,0,0
1632,2977,1,27,6,2,NA,NA,2537,0,8,0,0,0,0,1,0,0,0,0,0
1763,3156,1,20,15,1,NA,NA,1194,1,3,0,0,1,0,0,0,0,0,0,0
1778,8934,1,26,22,3,NA,NA,1369,0,4,0,0,0,0,0,0,1,0,0,0
1794,10099,1,32,17,6,NA,NA,2185,0,3,0,0,1,0,0,0,0,0,0,0
1797,8283,1,47,24,7,NA,NA,1497,1,1,0,0,0,0,0,1,0,0,0,0
1814,7173,1,35,8,3,NA,NA,1851,0,4,0,0,0,0,0,0,1,0,0,0
1819,8441,1,54,8,3,NA,NA,1765,0,4,0,0,0,0,0,0,1,0,0,0
1820,7861,1,44,19,1,NA,NA,2698,1,8,0,0,0,0,1,0,0,0,0,0
1885,8094,1,45,28,6,NA,NA,2081,0,1,0,0,0,0,0,1,0,0,0,0
1890,8235,1,28,8,6,NA,NA,2057,0,10,0,0,0,0,0,0,0,1,0,0
1896,10263,1,40,5,1,NA,NA,2051,1,5,0,0,0,0,0,0,0,0,1,0
1975,6950,1,50,15,7,NA,NA,2171,1,10,0,0,0,0,0,0,0,1,0,0
1982,8999,1,28,17,6,NA,NA,1775,0,1,0,0,0,0,0,1,0,0,0,0
2017,10292,1,25,2,3,NA,NA,2633,0,2,0,0,0,0,0,0,0,0,0,1
2046,10909,1,38,3,5,NA,NA,89,0,2,0,0,0,0,0,0,0,0,0,1
2104,609,1,45,14,1,NA,NA,2180,1,7,1,0,0,0,0,0,0,0,0,0
2122,5071,1,18,4,2,NA,NA,1947,0,1,0,0,0,0,0,1,0,0,0,0
2144,9796,1,74,12,7,NA,NA,2722,1,5,0,0,0,0,0,0,0,0,1,0
2162,2041,1,24,20,2,NA,NA,2660,0,3,0,0,1,0,0,0,0,0,0,0
2235,2740,1,42,26,7,NA,NA,1404,1,2,0,0,0,0,0,0,0,0,0,1
2285,5229,1,50,24,4,NA,NA,1899,0,6,0,0,0,1,0,0,0,0,0,0
2305,7524,1,35,18,7,NA,NA,2271,1,3,0,0,1,0,0,0,0,0,0,0
