SUBJECT,HOUSEHOLD,SEX,AGE_YEAR,CONSUMPTION_DAY,WEEK_DAY,PREG_LACT,BREASTFEEDING,sum_ENERGY_kcal,WEEKEND,adm2_,adm2_2,adm2_4,adm2_8,adm2_7,adm2_3,adm2_10,adm2_6,adm2_5,adm2_9,adm2_1
33,3646,2,26,2,3,1,NA,1787,0,2,1,0,0,0,0,0,0,0,0,0
57,11157,2,20,24,7,1,NA,2185,1,4,0,1,0,0,0,0,0,0,0,0
63,1287,2,55,25,6,0,NA,1179,0,8,0,0,1,0,0,0,0,0,0,0
178,10492,2,60,5,7,0,NA,1776,1,7,0,0,0,1,0,0,0,0,0,0
286,11558,2,33,4,6,1,NA,2017,0,7,0,0,0,1,0,0,0,0,0,0
331,6064,2,48,15,4,1,NA,1741,0,3,0,0,0,0,1,0,0,0,0,0
332,6055,2,40,22,4,1,NA,2564,0,3,0,0,0,0,1,0,0,0,0,0
344,11894,2,70,26,7,0,NA,1195,1,2,1,0,0,0,0,0,0,0,0,0
346,10720,2,26,23,5,1,NA,1774,0,8,0,0,1,0,0,0,0,0,0,0
360,206,2,74,8,6,0,NA,1518,0,10,0,0,0,0,0,1,0,0,0,0
397,4433,2,50,7,2,0,NA,1218,0,7,0,0,0,1,0,0,0,0,0,0
422,9731,2,75,6,4,0,NA,1739,0,10,0,0,0,0,0,1,0,0,0,0
429,11365,2,22,10,4,1,NA,1618,0,7,0,0,0,1,0,0,0,0,0,0
471,1814,2,35,3,3,1,NA,2285,0,6,0,0,0,0,0,0,1,0,0,0
537,7297,2,55,7,3,0,NA,1311,0,5,0,0,0,0,0,0,0,1,0,0
559,3565,2,23,16,1,1,NA,1385,1,10,0,0,0,0,0,1,0,0,0,0
605,6085,2,48,20,1,1,NA,1903,1,7,0,0,0,1,0,0,0,0,0,0
634,4808,2,45,3,5,1,NA,763,0,2,1,0,0,0,0,0,0,0,0,0
641,294,2,19,5,3,1,NA,875,0,9,0,0,0,0,0,0,0,0,1,0
683,3253,2,46,7,2,1,NA,582,0,1,0,0,0,0,0,0,0,0,0,1
685,5190,2,24,7,5,1,NA,1224,0,9,0,0,0,0,0,0,0,0,1,0
727,8586,2,47,30,5,1,NA,1414,0,2,1,0,0,0,0,0,0,0,0,0
