SUBJECT,HOUSEHOLD,SEX,AGE_YEAR,CONSUMPTION_DAY,sum_VITA_RAE_mcg,sum_FOLDFE_mcg,sum_IRON_mg,sum_ZINC_mg,WEEKEND,adm2_,adm2_5,adm2_9,adm2_1,adm2_11,adm2_10,adm2_4,adm2_6,adm2_12,adm2_3,adm2_7,adm2_8,adm2_2
25,2167,2,29,11,67,210,18.96,11.620000000000001,0,5,1,0,0,0,0,0,0,0,0,0,0,0
28,2867,1,62,8,113,373,27.900000000000002,17.740000000000002,0,9,0,1,0,0,0,0,0,0,0,0,0,0
31,10739,2,60,20,48,123,6.04,6.5200000000000005,0,1,0,0,1,0,0,0,0,0,0,0,0,0
67,5686,1,65,27,140,155,13.969999999999999,7.419999999999999,0,11,0,0,0,1,0,0,0,0,0,0,0,0
81,4580,1,25,29,52,216,20.23,13.740000000000002,0,10,0,0,0,0,1,0,0,0,0,0,0,0
83,7836,1,29.1,20,33,148,10.23,8.429999999999998,0,4,0,0,0,0,0,1,0,0,0,0,0,0
89,1897,1,59,18,91,163,17.65,10.529999999999998,0,4,0,0,0,0,0,1,0,0,0,0,0,0
122,2465,2,45,16,155,228,13.609999999999998,8.69,0,6,0,0,0,0,0,0,1,0,0,0,0,0
124,3244,2,50,15,26,79,4.6499999999999995,4.989999999999999,0,12,0,0,0,0,0,0,0,1,0,0,0,0
144,3564,2,26,24,21,67,6.45,3.69,0,12,0,0,0,0,0,0,0,1,0,0,0,0
161,9162,2,56,17,102,93,9.4,6.9399999999999995,0,5,1,0,0,0,0,0,0,0,0,0,0,0
175,2793,1,50,11,88,513,29.23,16.8,0,5,1,0,0,0,0,0,0,0,0,0,0,0
187,3492,1,18,29,77,171,10.32,6.309999999999999,0,10,0,0,0,0,1,0,0,0,0,0,0,0
207,4038,2,39,30,1098,370,38.70000000000001,13.529999999999998,0,5,1,0,0,0,0,0,0,0,0,0,0,0
