SUBJECT,HOUSEHOLD,SEX,AGE_YEAR,CONSUMPTION_DAY.x,WEEK_DAY,PREG_LACT.x,BREASTFEEDING.x,sum_VITA_RAE_mcg,CONSUMPTION_DAY.y,PREG_LACT.y,BREASTFEEDING.y,sum_FOLDFE_mcg,CONSUMPTION_DAY.x.x,PREG_LACT.x.x,BREASTFEEDING.x.x,sum_IRON_mg,CONSUMPTION_DAY.y.y,PREG_LACT.y.y,BREASTFEEDING.y.y,sum_ZINC_mg,CONSUMPTION_DAY,PREG_LACT,BREASTFEEDING,sum_VITB12_mcg,WEEKEND,adm2_,adm2_4,adm2_11,adm2_10,adm2_2,adm2_7,adm2_14,adm2_9,adm2_15,adm2_3,adm2_13,adm2_12,adm2_5,adm2_8,adm2_6,adm2_1
32,10798,1,23,14,6,NA,NA,694,14,NA,NA,268,14,NA,NA,9.37,14,NA,NA,8.199999999999998,14,NA,NA,0.8828999999999999,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,2851,1,31,10,2,NA,NA,30,10,NA,NA,109,10,NA,NA,7.409999999999999,10,NA,NA,6.099999999999998,10,NA,NA,0.1503,0,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
99,702,1,40,17,5,NA,NA,153,17,NA,NA,245,17,NA,NA,10.58,17,NA,NA,7.36,17,NA,NA,3.0582000000000003,0,10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
112,10798,1,18,14,6,NA,NA,544,14,NA,NA,255,14,NA,NA,9.079999999999998,14,NA,NA,8.209999999999999,14,NA,NA,0.8828999999999999,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
204,1516,1,55,23,6,NA,NA,75,23,NA,NA,149,23,NA,NA,25.88,23,NA,NA,7.2700000000000005,23,NA,NA,1.4697000000000002,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
206,6596,1,46,22,4,NA,NA,73,22,NA,NA,147,22,NA,NA,7.19,22,NA,NA,6.81,22,NA,NA,1.791,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
246,5085,1,40,18,6,NA,NA,82,18,NA,NA,104,18,NA,NA,5.389999999999999,18,NA,NA,4.62,18,NA,NA,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
255,8936,1,30,30,6,NA,NA,48,30,NA,NA,94,30,NA,NA,7.2799999999999985,30,NA,NA,4.689999999999999,30,NA,NA,0,0,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
284,5993,1,28,17,7,NA,NA,170,17,NA,NA,201,17,NA,NA,9.240000000000002,17,NA,NA,8.589999999999998,17,NA,NA,1.935,1,14,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
355,2818,1,36,26,7,NA,NA,55,26,NA,NA,139,26,NA,NA,6.47,26,NA,NA,5.73,26,NA,NA,0.9603,1,9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
367,8608,1,28,4,7,NA,NA,127,4,NA,NA,248,4,NA,NA,14.51,4,NA,NA,10.309999999999999,4,NA,NA,11.984599999999999,1,14,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
388,3981,1,22,30,3,NA,NA,44,30,NA,NA,69,30,NA,NA,4.58,30,NA,NA,4.799999999999999,30,NA,NA,0,0,15,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
442,11199,1,65,24,1,NA,NA,44,24,NA,NA,213,24,NA,NA,10.879999999999999,24,NA,NA,5.439999999999999,24,NA,NA,0.7047,1,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
443,4157,1,34,20,2,NA,NA,279,20,NA,NA,171,20,NA,NA,9.7,20,NA,NA,8.209999999999999,20,NA,NA,3.4272,0,13,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
452,2346,1,24,17,1,NA,NA,42,17,NA,NA,164,17,NA,NA,11.269999999999998,17,NA,NA,5.949999999999999,17,NA,NA,1.7397000000000002,1,12,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
455,4388,1,20,27,7,NA,NA,90,27,NA,NA,137,27,NA,NA,7.970000000000001,27,NA,NA,7.32,27,NA,NA,1.7946,1,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
504,7635,1,30,31,5,NA,NA,89,31,NA,NA,179,31,NA,NA,9.159999999999998,31,NA,NA,9.629999999999999,31,NA,NA,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
586,586,1,28,22,3,NA,NA,189,22,NA,NA,505,22,NA,NA,15.92,22,NA,NA,7.269999999999998,22,NA,NA,19.366999999999997,0,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
736,6154,1,21,18,5,NA,NA,52,18,NA,NA,132,18,NA,NA,8.01,18,NA,NA,5.999999999999999,18,NA,NA,0,0,13,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
743,5282,1,66,12,4,NA,NA,100,12,NA,NA,214,12,NA,NA,11.440000000000001,12,NA,NA,8.229999999999999,12,NA,NA,2.8617000000000004,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
761,7017,1,34,2,5,NA,NA,39,2,NA,NA,121,2,NA,NA,6.35,2,NA,NA,6.879999999999998,2,NA,NA,0,0,15,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
776,7813,1,38,27,3,NA,NA,113,27,NA,NA,159,27,NA,NA,10.48,27,NA,NA,6.73,27,NA,NA,0.8576999999999999,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
840,3135,1,29,3,3,NA,NA,338,3,NA,NA,266,3,NA,NA,13.670000000000002,3,NA,NA,8.95,3,NA,NA,3.2724,0,13,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
884,2297,1,38,25,5,NA,NA,547,25,NA,NA,291,25,NA,NA,18.160000000000004,25,NA,NA,13.629999999999999,25,NA,NA,0.6075,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
905,766,1,59,30,6,NA,NA,25,30,NA,NA,223,30,NA,NA,13.86,30,NA,NA,9.139999999999997,30,NA,NA,6.344799999999999,0,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
910,38,1,24,16,6,NA,NA,92,16,NA,NA,129,16,NA,NA,6.800000000000001,16,NA,NA,5.64,16,NA,NA,3.276,0,14,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
974,7799,1,48,23,3,NA,NA,85,23,NA,NA,201,23,NA,NA,17.83,23,NA,NA,12.29,23,NA,NA,1.7568,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1001,2599,1,25,13,4,NA,NA,208,13,NA,NA,189,13,NA,NA,8.94,13,NA,NA,8.88,13,NA,NA,2.277,0,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1075,6952,1,55,10,5,NA,NA,144,10,NA,NA,189,10,NA,NA,11.86,10,NA,NA,8.079999999999998,10,NA,NA,1.35,0,9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
