SUBJECT,HOUSEHOLD,SEX,AGE_YEAR,CONSUMPTION_DAY,WEEK_DAY,PREG_LACT,BREASTFEEDING,sum_ENERGY_kcal,WEEKEND,adm2_,adm2_4,adm2_11,adm2_10,adm2_2,adm2_7,adm2_14,adm2_9,adm2_15,adm2_3,adm2_13,adm2_12,adm2_5,adm2_8,adm2_6,adm2_1
32,10798,1,23,14,6,NA,NA,2505,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,2851,1,31,10,2,NA,NA,1851,0,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
99,702,1,40,17,5,NA,NA,1709,0,10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
112,10798,1,18,14,6,NA,NA,2480,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
204,1516,1,55,23,6,NA,NA,2371,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
206,6596,1,46,22,4,NA,NA,1786,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
246,5085,1,40,18,6,NA,NA,1348,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
255,8936,1,30,30,6,NA,NA,1035,0,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
284,5993,1,28,17,7,NA,NA,2346,1,14,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
355,2818,1,36,26,7,NA,NA,1469,1,9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
367,8608,1,28,4,7,NA,NA,2225,1,14,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
388,3981,1,22,30,3,NA,NA,1510,0,15,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
442,11199,1,65,24,1,NA,NA,1783,1,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
443,4157,1,34,20,2,NA,NA,2499,0,13,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
452,2346,1,24,17,1,NA,NA,2286,1,12,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
455,4388,1,20,27,7,NA,NA,2330,1,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
504,7635,1,30,31,5,NA,NA,2749,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
586,586,1,28,22,3,NA,NA,2635,0,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
736,6154,1,21,18,5,NA,NA,1739,0,13,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
743,5282,1,66,12,4,NA,NA,2242,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
761,7017,1,34,2,5,NA,NA,1940,0,15,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
776,7813,1,38,27,3,NA,NA,2149,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
840,3135,1,29,3,3,NA,NA,2746,0,13,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
884,2297,1,38,25,5,NA,NA,2909,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
905,766,1,59,30,6,NA,NA,2219,0,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
910,38,1,24,16,6,NA,NA,1598,0,14,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
974,7799,1,48,23,3,NA,NA,1717,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1001,2599,1,25,13,4,NA,NA,2288,0,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1075,6952,1,55,10,5,NA,NA,2467,0,9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1104,4318,1,54,3,3,NA,NA,1875,0,13,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1153,11542,1,28,15,3,NA,NA,3444,0,10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1201,10032,1,57,2,4,NA,NA,1846,0,14,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1276,11512,1,48,2,5,NA,NA,1759,0,15,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1307,9551,1,47,14,6,NA,NA,2637,0,15,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1308,4745,1,33,29,3,NA,NA,1973,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1414,6612,1,31,8,1,NA,NA,2455,1,12,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1472,1859,1,61,6,2,NA,NA,2164,0,14,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1512,11784,1,52,2,6,NA,NA,2269,0,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1562,7385,1,43,29,5,NA,NA,2490,0,12,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1570,9136,1,25,6,1,NA,NA,2187,1,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1649,1479,1,48,29,3,NA,NA,1999,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1772,6988,1,45,18,5,NA,NA,536,0,13,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1825,7841,1,38,17,2,NA,NA,1613,0,15,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1881,7973,1,24,3,6,NA,NA,2261,0,13,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1925,8863,1,51,2,4,NA,NA,1022,0,14,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1939,5975,1,34,19,3,NA,NA,2403,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1959,2207,1,34,27,3,NA,NA,1910,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2014,9897,1,75,17,5,NA,NA,885,0,10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2050,1131,1,52,31,2,NA,NA,1782,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2116,534,1,50,25,4,NA,NA,2995,0,9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2204,9347,1,27,23,3,NA,NA,2511,0,13,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2223,10809,1,28,30,2,NA,NA,2300,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2273,5270,1,56,10,5,NA,NA,2699,0,9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2296,11806,1,28,16,4,NA,NA,1736,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2339,5858,1,53,28,2,NA,NA,2601,0,9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2386,9968,1,31,28,2,NA,NA,1977,0,9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2413,4102,1,69,19,3,NA,NA,2059,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2504,11647,1,32,18,6,NA,NA,3081,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2507,10501,1,32,4,6,NA,NA,2104,0,10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2552,3861,1,62,5,5,NA,NA,1993,0,13,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2603,1557,1,60,6,1,NA,NA,2414,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2635,1857,1,45,8,5,NA,NA,2672,0,15,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2654,11127,1,58,27,7,NA,NA,1867,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2729,268,1,55,17,5,NA,NA,1305,0,10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2752,9287,1,36,20,2,NA,NA,2913,0,13,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
