SUBJECT,HOUSEHOLD,SEX,AGE_YEAR,CONSUMPTION_DAY.x,WEEK_DAY,PREG_LACT.x,BREASTFEEDING.x,sum_VITA_RAE_mcg,CONSUMPTION_DAY.y,PREG_LACT.y,BREASTFEEDING.y,sum_FOLDFE_mcg,CONSUMPTION_DAY.x.x,PREG_LACT.x.x,BREASTFEEDING.x.x,sum_IRON_mg,CONSUMPTION_DAY.y.y,PREG_LACT.y.y,BREASTFEEDING.y.y,sum_ZINC_mg,CONSUMPTION_DAY,PREG_LACT,BREASTFEEDING,sum_VITB12_mcg,WEEKEND,adm2_,adm2_9,adm2_14,adm2_15,adm2_12,adm2_1,adm2_3,adm2_8,adm2_10,adm2_11,adm2_4,adm2_13,adm2_7,adm2_2,adm2_5,adm2_6
7,534,2,40,25,4,1,NA,58,25,1,NA,137,25,1,NA,12.69,25,1,NA,8.05,25,1,NA,1.9809,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,11252,2,33,17,7,1,NA,55,17,1,NA,93,17,1,NA,7.9399999999999995,17,1,NA,5.55,17,1,NA,0.5139,1,14,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
71,1857,2,65,8,5,NA,NA,42,8,NA,NA,63,8,NA,NA,4.930000000000001,8,NA,NA,2.8000000000000003,8,0,NA,1.3965,0,15,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
114,1540,2,31,17,1,1,NA,29,17,1,NA,76,17,1,NA,2.849999999999999,17,1,NA,2.489999999999999,17,1,NA,0.927,1,12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
126,11875,2,42,17,1,1,NA,117,17,1,NA,136,17,1,NA,52.56000000000001,17,1,NA,6.009999999999999,17,1,NA,0.27,1,12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
128,9229,2,35,27,3,1,NA,109,27,1,NA,68,27,1,NA,4.599999999999999,27,1,NA,3.3899999999999997,27,1,NA,0.675,0,12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
152,11707,2,26,19,4,1,NA,26,19,1,NA,104,19,1,NA,5.8999999999999995,19,1,NA,6.24,19,1,NA,0,0,15,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
209,2038,2,27,18,5,1,NA,151,18,1,NA,197,18,1,NA,8.47,18,1,NA,6.46,18,1,NA,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
215,3064,2,35,1,1,1,NA,761,1,1,NA,146,1,1,NA,8.29,1,1,NA,4.49,1,1,NA,0,1,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
223,10329,2,62,29,1,NA,NA,129,29,NA,NA,250,29,NA,NA,10.969999999999999,29,NA,NA,7.389999999999997,29,0,NA,3.5518,1,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
228,588,2,56,27,6,NA,NA,34,27,NA,NA,124,27,NA,NA,19.169999999999998,27,NA,NA,4.89,27,0,NA,0.5526,0,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
249,10407,2,47,3,1,1,NA,18,3,1,NA,91,3,1,NA,4.36,3,1,NA,3.6899999999999995,3,1,NA,2.3328,1,10,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
253,2289,2,55,29,3,NA,NA,85,29,NA,NA,143,29,NA,NA,9.59,29,NA,NA,5.919999999999999,29,0,NA,1.44,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
295,8019,2,35,31,5,1,NA,114,31,1,NA,184,31,1,NA,8.97,31,1,NA,6.1499999999999995,31,1,NA,1.215,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
316,1531,2,27,30,6,1,NA,55,30,1,NA,662,30,1,NA,6.21,30,1,NA,4.98,30,1,NA,1.4,0,11,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
337,7761,2,28,6,2,1,NA,60,6,1,NA,109,6,1,NA,6.7799999999999985,6,1,NA,5.529999999999999,6,1,NA,0,0,14,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
345,11133,2,39,12,4,1,NA,177,12,1,NA,228,12,1,NA,8.199999999999998,12,1,NA,4.33,12,1,NA,8.6885,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
398,8887,2,39,27,4,1,NA,848,27,1,NA,209,27,1,NA,9.14,27,1,NA,6.46,27,1,NA,3.303,0,13,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
435,8209,2,55,12,4,NA,NA,212,12,NA,NA,548,12,NA,NA,18.580000000000002,12,NA,NA,11.859999999999998,12,0,NA,2.8125,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
472,1317,2,45,11,6,1,NA,26,11,1,NA,71,11,1,NA,6.04,11,1,NA,6.47,11,1,NA,0.5724,0,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
503,5629,2,28,23,7,1,NA,45,23,1,NA,150,23,1,NA,10.639999999999997,23,1,NA,7.4399999999999995,23,1,NA,1.287,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
506,4831,2,58,26,7,NA,NA,76,26,NA,NA,171,26,NA,NA,7.58,26,NA,NA,5.849999999999998,26,0,NA,0.9108,1,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
