SUBJECT,HOUSEHOLD,SEX,AGE_YEAR,CONSUMPTION_DAY,sum_VITA_RAE_mcg,sum_FOLDFE_mcg,sum_IRON_mg,sum_ZINC_mg,WEEKEND,adm2_,adm2_8,adm2_9,adm2_2,adm2_1,adm2_6,adm2_3,adm2_7,adm2_4,adm2_5
15,9354,2,38,16,333,236,28.470000000000002,19.46,0,8,1,0,0,0,0,0,0,0,0
19,2410,2,38,16,514,158,10.33,6.5,0,9,0,1,0,0,0,0,0,0,0
30,8796,2,65,14,14,108,11.309999999999999,8.42,0,2,0,0,1,0,0,0,0,0,0
48,3714,2,43,30,25,88,7.54,5.27,0,1,0,0,0,1,0,0,0,0,0
86,11860,2,18,12,251,189,13.689999999999998,8.019999999999998,0,6,0,0,0,0,1,0,0,0,0
106,3882,1,31,20,22,199,17.34,13.139999999999997,0,9,0,1,0,0,0,0,0,0,0
110,5192,2,18,20,36,127,9.880000000000004,6.339999999999998,0,8,1,0,0,0,0,0,0,0,0
132,11122,1,65,3,2924,170,17.259999999999998,10.939999999999998,0,9,0,1,0,0,0,0,0,0,0
151,11183,2,30,21,12,135,12.67,8.94,0,3,0,0,0,0,0,1,0,0,0
172,8866,2,30,23,190,121,12.139999999999999,8.490000000000002,0,1,0,0,0,1,0,0,0,0,0
190,299,2,36,22,378,248,13.209999999999999,9.14,0,8,1,0,0,0,0,0,0,0,0
191,10510,1,72,25,9,181,22.510000000000005,14.049999999999997,0,3,0,0,0,0,0,1,0,0,0
192,2594,2,52,12,40,290,20.009999999999998,10.799999999999999,0,6,0,0,0,0,1,0,0,0,0
200,11088,1,24,8,18,136,12.76,10.71,0,1,0,0,0,1,0,0,0,0,0
203,9214,1,80,14,1,141,12.25,8.759999999999998,0,9,0,1,0,0,0,0,0,0,0
218,371,2,78,9,17,88,7.09,4.750000000000001,0,7,0,0,0,0,0,0,1,0,0
224,7243,2,20,26,13,200,22.63,15.259999999999996,0,4,0,0,0,0,0,0,0,1,0
225,10134,2,56,12,96,147,13.04,8.430000000000001,0,8,1,0,0,0,0,0,0,0,0
230,163,2,25,7,2,93,6.26,5.72,1,9,0,1,0,0,0,0,0,0,0
245,7644,2,20,28,29,108,9.379999999999999,7.37,0,4,0,0,0,0,0,0,0,1,0
247,3274,2,32,21,4,57,7.659999999999999,4.81,0,7,0,0,0,0,0,0,1,0,0
250,7904,1,22,10,30,246,18.36,12.759999999999998,0,8,1,0,0,0,0,0,0,0,0
261,4514,2,35,6,223,272,26.569999999999997,18.359999999999996,0,4,0,0,0,0,0,0,0,1,0
282,5132,2,58,16,13,148,12.34,9.209999999999997,0,1,0,0,0,1,0,0,0,0,0
283,2940,2,60,8,12,220,17.15,12.059999999999999,0,3,0,0,0,0,0,1,0,0,0
292,11440,1,22,16,36,180,15.7,10.260000000000002,0,5,0,0,0,0,0,0,0,0,1
326,11130,1,40,9,123,371,33.699999999999996,22.02,0,7,0,0,0,0,0,0,1,0,0
339,10085,1,38,1,123,218,20.119999999999997,14.409999999999997,1,1,0,0,0,1,0,0,0,0,0
349,2010,2,25,23,68,129,14.36,9.000000000000002,0,7,0,0,0,0,0,0,1,0,0
376,3690,2,30,4,114,394,20.869999999999997,3.3199999999999994,0,5,0,0,0,0,0,0,0,0,1
391,9534,1,35,22,53,234,25.29,18.83,0,2,0,0,1,0,0,0,0,0,0
407,2133,2,32,11,44,96,9.299999999999999,8.16,0,3,0,0,0,0,0,1,0,0,0
416,8450,2,48,10,4,90,5.279999999999999,4.539999999999999,0,2,0,0,1,0,0,0,0,0,0
438,5214,2,50,19,6,152,11.07,8.2,0,3,0,0,0,0,0,1,0,0,0
445,3722,1,22,5,23,194,18.439999999999998,14.12,0,8,1,0,0,0,0,0,0,0,0
451,4445,1,45,6,17,146,13.700000000000001,9.629999999999999,0,4,0,0,0,0,0,0,0,1,0
515,8912,1,40,20,9,112,17.34,10.629999999999999,0,9,0,1,0,0,0,0,0,0,0
524,3790,1,63,25,21,121,5.55,4.079999999999998,0,5,0,0,0,0,0,0,0,0,1
534,787,1,70,30,774,455,15.17,9.959999999999999,0,4,0,0,0,0,0,0,0,1,0
536,11527,1,70,21,37,153,9.3,6.61,0,3,0,0,0,0,0,1,0,0,0
548,1148,2,36,10,9,196,17.14,12.669999999999998,0,8,1,0,0,0,0,0,0,0,0
563,5228,2,63,13,4,107,8.490000000000002,5.85,0,9,0,1,0,0,0,0,0,0,0
578,10159,2,22,19,134,166,16.54,11.539999999999997,0,3,0,0,0,0,0,1,0,0,0
593,10226,2,18,14,13,159,15.819999999999999,12.349999999999998,0,6,0,0,0,0,1,0,0,0,0
599,2749,2,61,27,2,184,18.52,13.129999999999999,0,3,0,0,0,0,0,1,0,0,0
614,10333,1,75,15,33,162,18.660000000000004,12.77,0,8,1,0,0,0,0,0,0,0,0
619,10626,1,52,5,32,357,33.07,21.910000000000004,0,5,0,0,0,0,0,0,0,0,1
664,9161,2,22,10,28,156,16.12,9.040000000000001,0,4,0,0,0,0,0,0,0,1,0
673,8345,1,37,9,10,120,12.910000000000002,9.919999999999998,0,8,1,0,0,0,0,0,0,0,0
680,5599,2,30,20,3,110,10.659999999999998,7.459999999999999,0,9,0,1,0,0,0,0,0,0,0
686,9725,1,20,16,138,330,24.049999999999997,16.75,0,1,0,0,0,1,0,0,0,0,0
699,4754,2,21,6,17,46,2.0500000000000003,1.6199999999999999,0,4,0,0,0,0,0,0,0,1,0
703,5991,2,65,4,0,81,8.049999999999999,5.8,0,3,0,0,0,0,0,1,0,0,0
705,8940,1,19,10,5,45,4.33,3.19,0,8,1,0,0,0,0,0,0,0,0
707,3722,1,18,5,23,208,20.34,15.48,0,8,1,0,0,0,0,0,0,0,0
708,11440,2,20,16,35,148,11.849999999999998,6.9799999999999995,0,5,0,0,0,0,0,0,0,0,1
737,7108,2,30,9,19,162,12.340000000000002,8.87,0,2,0,0,1,0,0,0,0,0,0
748,375,2,60,18,212,180,12.590000000000002,5.830000000000001,0,8,1,0,0,0,0,0,0,0,0
756,1380,2,40,25,78,96,6.22,4.569999999999999,0,1,0,0,0,1,0,0,0,0,0
774,1095,2,30,9,5,197,85.11,14.62,0,7,0,0,0,0,0,0,1,0,0
781,154,1,67,18,6,122,9.719999999999999,7.76,0,5,0,0,0,0,0,0,0,0,1
807,11214,1,45,14,42,179,23.150000000000006,14.01,0,6,0,0,0,0,1,0,0,0,0
883,1292,2,38,8,476,242,14.19,9.06,0,1,0,0,0,1,0,0,0,0,0
916,5401,1,26,31,38,229,29.410000000000004,20.53000000000001,0,7,0,0,0,0,0,0,1,0,0
924,2357,2,37,8,14,172,13.879999999999999,9.27,0,4,0,0,0,0,0,0,0,1,0
960,959,1,80,6,1425,164,13.929999999999998,5.21,0,4,0,0,0,0,0,0,0,1,0
971,2122,2,65,10,12,291,28.52,17.169999999999998,0,2,0,0,1,0,0,0,0,0,0
996,307,1,32,4,112,310,29.529999999999998,20.78,0,4,0,0,0,0,0,0,0,1,0
1009,3674,2,45,5,46,104,9.3,5.110000000000001,0,8,1,0,0,0,0,0,0,0,0
1022,9164,2,32,16,157,144,9.16,6.199999999999999,0,8,1,0,0,0,0,0,0,0,0
1037,4832,1,65,18,896,451,20.55,10.409999999999998,0,8,1,0,0,0,0,0,0,0,0
1053,5396,2,55,3,5,86,9.53,6.739999999999999,0,1,0,0,0,1,0,0,0,0,0
1079,3340,2,29,9,104,127,10.84,6.54,0,9,0,1,0,0,0,0,0,0,0
1110,10568,1,65,13,1465,898,13.249999999999998,7.260000000000001,0,9,0,1,0,0,0,0,0,0,0
1114,5192,2,22,20,23,166,15.630000000000003,10.139999999999999,0,8,1,0,0,0,0,0,0,0,0
1116,6852,2,35,2,296,199,19.13,12.799999999999999,0,4,0,0,0,0,0,0,0,1,0
1177,11472,2,48,2,1036,137,7.969999999999999,3.39,0,4,0,0,0,0,0,0,0,1,0
1187,7779,2,21,24,584,212,9.639999999999997,5,0,5,0,0,0,0,0,0,0,0,1
1202,8261,2,22,22,76,114,11.070000000000002,8.67,0,6,0,0,0,0,1,0,0,0,0
1209,7835,1,28,16,153,158,17.94,10.879999999999999,0,9,0,1,0,0,0,0,0,0,0
1214,7720,2,39,18,313,339,19.51,11.15,0,8,1,0,0,0,0,0,0,0,0
