SUBJECT,HOUSEHOLD,SEX,AGE_YEAR,CONSUMPTION_DAY.x,WEEK_DAY,PREG_LACT.x,BREASTFEEDING.x,sum_VITA_RAE_mcg,CONSUMPTION_DAY.y,PREG_LACT.y,BREASTFEEDING.y,sum_FOLDFE_mcg,CONSUMPTION_DAY.x.x,PREG_LACT.x.x,BREASTFEEDING.x.x,sum_IRON_mg,CONSUMPTION_DAY.y.y,PREG_LACT.y.y,BREASTFEEDING.y.y,sum_ZINC_mg,CONSUMPTION_DAY,PREG_LACT,BREASTFEEDING,sum_VITB12_mcg,WEEKEND,adm2_,adm2_9,adm2_3,adm2_1,adm2_8,adm2_5,adm2_7,adm2_2,adm2_4,adm2_6
106,3882,1,31,20,3,NA,NA,22,20,NA,NA,199,20,NA,NA,17.34,20,NA,NA,13.139999999999997,20,NA,NA,2.214,0,9,1,0,0,0,0,0,0,0,0
132,11122,1,65,3,7,NA,NA,2924,3,NA,NA,170,3,NA,NA,17.259999999999998,3,NA,NA,10.939999999999998,3,NA,NA,3.9244,1,9,1,0,0,0,0,0,0,0,0
191,10510,1,72,25,5,NA,NA,9,25,NA,NA,181,25,NA,NA,22.510000000000005,25,NA,NA,14.049999999999997,25,NA,NA,0.3708000000000001,0,3,0,1,0,0,0,0,0,0,0
200,11088,1,24,8,5,NA,NA,18,8,NA,NA,136,8,NA,NA,12.76,8,NA,NA,10.71,8,NA,NA,4.5,0,1,0,0,1,0,0,0,0,0,0
203,9214,1,80,14,4,NA,NA,1,14,NA,NA,141,14,NA,NA,12.25,14,NA,NA,8.759999999999998,14,NA,NA,0,0,9,1,0,0,0,0,0,0,0,0
250,7904,1,22,10,3,NA,NA,30,10,NA,NA,246,10,NA,NA,18.36,10,NA,NA,12.759999999999998,10,NA,NA,0.5625,0,8,0,0,0,1,0,0,0,0,0
292,11440,1,22,16,4,NA,NA,36,16,NA,NA,180,16,NA,NA,15.7,16,NA,NA,10.260000000000002,16,NA,NA,0,0,5,0,0,0,0,1,0,0,0,0
326,11130,1,40,9,4,NA,NA,123,9,NA,NA,371,9,NA,NA,33.699999999999996,9,NA,NA,22.02,9,NA,NA,0,0,7,0,0,0,0,0,1,0,0,0
339,10085,1,38,1,3,NA,NA,123,1,NA,NA,218,1,NA,NA,20.119999999999997,1,NA,NA,14.409999999999997,1,NA,NA,0.8172,0,1,0,0,1,0,0,0,0,0,0
391,9534,1,35,22,5,NA,NA,53,22,NA,NA,234,22,NA,NA,25.29,22,NA,NA,18.83,22,NA,NA,0,0,2,0,0,0,0,0,0,1,0,0
445,3722,1,22,5,5,NA,NA,23,5,NA,NA,194,5,NA,NA,18.439999999999998,5,NA,NA,14.12,5,NA,NA,0,0,8,0,0,0,1,0,0,0,0,0
451,4445,1,45,6,3,NA,NA,17,6,NA,NA,146,6,NA,NA,13.700000000000001,6,NA,NA,9.629999999999999,6,NA,NA,0.8739,0,4,0,0,0,0,0,0,0,1,0
515,8912,1,40,20,3,NA,NA,9,20,NA,NA,112,20,NA,NA,17.34,20,NA,NA,10.629999999999999,20,NA,NA,0.4076999999999999,0,9,1,0,0,0,0,0,0,0,0
524,3790,1,63,25,1,NA,NA,21,25,NA,NA,121,25,NA,NA,5.55,25,NA,NA,4.079999999999998,25,NA,NA,0.0696,1,5,0,0,0,0,1,0,0,0,0
534,787,1,70,30,1,NA,NA,774,30,NA,NA,455,30,NA,NA,15.17,30,NA,NA,9.959999999999999,30,NA,NA,0,1,4,0,0,0,0,0,0,0,1,0
536,11527,1,70,21,6,NA,NA,37,21,NA,NA,153,21,NA,NA,9.3,21,NA,NA,6.61,21,NA,NA,0.6849,0,3,0,1,0,0,0,0,0,0,0
614,10333,1,75,15,7,NA,NA,33,15,NA,NA,162,15,NA,NA,18.660000000000004,15,NA,NA,12.77,15,NA,NA,0,1,8,0,0,0,1,0,0,0,0,0
619,10626,1,52,5,5,NA,NA,32,5,NA,NA,357,5,NA,NA,33.07,5,NA,NA,21.910000000000004,5,NA,NA,0.1764,0,5,0,0,0,0,1,0,0,0,0
673,8345,1,37,9,2,NA,NA,10,9,NA,NA,120,9,NA,NA,12.910000000000002,9,NA,NA,9.919999999999998,9,NA,NA,0,0,8,0,0,0,1,0,0,0,0,0
686,9725,1,20,16,1,NA,NA,138,16,NA,NA,330,16,NA,NA,24.049999999999997,16,NA,NA,16.75,16,NA,NA,2.63,1,1,0,0,1,0,0,0,0,0,0
705,8940,1,19,10,2,NA,NA,5,10,NA,NA,45,10,NA,NA,4.33,10,NA,NA,3.19,10,NA,NA,0,0,8,0,0,0,1,0,0,0,0,0
707,3722,1,18,5,5,NA,NA,23,5,NA,NA,208,5,NA,NA,20.34,5,NA,NA,15.48,5,NA,NA,0,0,8,0,0,0,1,0,0,0,0,0
781,154,1,67,18,6,NA,NA,6,18,NA,NA,122,18,NA,NA,9.719999999999999,18,NA,NA,7.76,18,NA,NA,0.1836,0,5,0,0,0,0,1,0,0,0,0
807,11214,1,45,14,2,NA,NA,42,14,NA,NA,179,14,NA,NA,23.150000000000006,14,NA,NA,14.01,14,NA,NA,1.8,0,6,0,0,0,0,0,0,0,0,1
916,5401,1,26,31,3,NA,NA,38,31,NA,NA,229,31,NA,NA,29.410000000000004,31,NA,NA,20.53000000000001,31,NA,NA,0.9126,0,7,0,0,0,0,0,1,0,0,0
960,959,1,80,6,3,NA,NA,1425,6,NA,NA,164,6,NA,NA,13.929999999999998,6,NA,NA,5.21,6,NA,NA,0,0,4,0,0,0,0,0,0,0,1,0
996,307,1,32,4,5,NA,NA,112,4,NA,NA,310,4,NA,NA,29.529999999999998,4,NA,NA,20.78,4,NA,NA,0.5373,0,4,0,0,0,0,0,0,0,1,0
1037,4832,1,65,18,7,NA,NA,896,18,NA,NA,451,18,NA,NA,20.55,18,NA,NA,10.409999999999998,18,NA,NA,3.9357,1,8,0,0,0,1,0,0,0,0,0
1110,10568,1,65,13,1,NA,NA,1465,13,NA,NA,898,13,NA,NA,13.249999999999998,13,NA,NA,7.260000000000001,13,NA,NA,1.8,1,9,1,0,0,0,0,0,0,0,0
1209,7835,1,28,16,6,NA,NA,153,16,NA,NA,158,16,NA,NA,17.94,16,NA,NA,10.879999999999999,16,NA,NA,0.35550000000000004,0,9,1,0,0,0,0,0,0,0,0
1227,7472,1,30,4,2,NA,NA,140,4,NA,NA,88,4,NA,NA,10.86,4,NA,NA,7.1099999999999985,4,NA,NA,5.2242999999999995,0,3,0,1,0,0,0,0,0,0,0
1267,8980,1,28,31,3,NA,NA,63,31,NA,NA,207,31,NA,NA,30.78,31,NA,NA,17.470000000000002,31,NA,NA,0.28350000000000003,0,7,0,0,0,0,0,1,0,0,0
1279,2568,1,25,12,4,NA,NA,2,12,NA,NA,86,12,NA,NA,8.969999999999999,12,NA,NA,6.45,12,NA,NA,0.4338,0,8,0,0,0,1,0,0,0,0,0
1321,5245,1,44,19,3,NA,NA,21,19,NA,NA,168,19,NA,NA,20.930000000000003,19,NA,NA,14.630000000000003,19,NA,NA,0,0,9,1,0,0,0,0,0,0,0,0
1393,80,1,19,10,2,NA,NA,5,10,NA,NA,46,10,NA,NA,2.42,10,NA,NA,2.3200000000000003,10,NA,NA,0,0,8,0,0,0,1,0,0,0,0,0
1481,8895,1,36,10,2,NA,NA,6,10,NA,NA,136,10,NA,NA,16.72,10,NA,NA,11.599999999999998,10,NA,NA,0.28350000000000003,0,8,0,0,0,1,0,0,0,0,0
1490,4505,1,22,18,3,NA,NA,60,18,NA,NA,277,18,NA,NA,23.97,18,NA,NA,16.919999999999998,18,NA,NA,0,0,1,0,0,1,0,0,0,0,0,0
1535,9615,1,18,14,3,NA,NA,78,14,NA,NA,134,14,NA,NA,11.870000000000001,14,NA,NA,7.359999999999999,14,NA,NA,0,0,8,0,0,0,1,0,0,0,0,0
1599,8241,1,25,22,5,NA,NA,456,22,NA,NA,207,22,NA,NA,12.899999999999999,22,NA,NA,9.35,22,NA,NA,0.27,0,4,0,0,0,0,0,0,0,1,0
1615,1795,1,30,22,6,NA,NA,639,22,NA,NA,597,22,NA,NA,57.370000000000005,22,NA,NA,20.86,22,NA,NA,4.956,0,7,0,0,0,0,0,1,0,0,0
1621,1747,1,50,27,5,NA,NA,2,27,NA,NA,169,27,NA,NA,18.35,27,NA,NA,13.549999999999997,27,NA,NA,0,0,3,0,1,0,0,0,0,0,0,0
1653,11073,1,60,18,5,NA,NA,12,18,NA,NA,272,18,NA,NA,32.11,18,NA,NA,22.669999999999998,18,NA,NA,0.29790000000000005,0,6,0,0,0,0,0,0,0,0,1
1684,7574,1,49,21,1,NA,NA,4,21,NA,NA,161,21,NA,NA,15.96,21,NA,NA,10.84,21,NA,NA,0,1,6,0,0,0,0,0,0,0,0,1
1749,8912,1,60,20,3,NA,NA,8,20,NA,NA,57,20,NA,NA,9.559999999999999,20,NA,NA,5.14,20,NA,NA,0.4076999999999999,0,9,1,0,0,0,0,0,0,0,0
1850,8822,1,30,16,5,NA,NA,358,16,NA,NA,120,16,NA,NA,10.32,16,NA,NA,7.949999999999999,16,NA,NA,0,0,8,0,0,0,1,0,0,0,0,0
1887,7845,1,40,25,1,NA,NA,668,25,NA,NA,580,25,NA,NA,21.28,25,NA,NA,10.959999999999999,25,NA,NA,1.4889999999999999,1,5,0,0,0,0,1,0,0,0,0
1972,9480,1,20,29,2,NA,NA,42,29,NA,NA,78,29,NA,NA,7.58,29,NA,NA,4.4799999999999995,29,NA,NA,0.2133,0,7,0,0,0,0,0,1,0,0,0
2015,1551,1,34,30,1,NA,NA,128,30,NA,NA,143,30,NA,NA,11.339999999999998,30,NA,NA,7.969999999999998,30,NA,NA,0.0285,1,1,0,0,1,0,0,0,0,0,0
2024,4184,1,45,18,3,NA,NA,5,18,NA,NA,122,18,NA,NA,10.979999999999999,18,NA,NA,7.129999999999998,18,NA,NA,0,0,5,0,0,0,0,1,0,0,0,0
2026,1882,1,55,28,6,NA,NA,10,28,NA,NA,93,28,NA,NA,9.249999999999998,28,NA,NA,6.229999999999999,28,NA,NA,0.1791,0,4,0,0,0,0,0,0,0,1,0
2053,9159,1,45,25,7,NA,NA,30,25,NA,NA,134,25,NA,NA,14.450000000000001,25,NA,NA,10.33,25,NA,NA,0,1,1,0,0,1,0,0,0,0,0,0
2082,8419,1,40,19,4,NA,NA,11,19,NA,NA,96,19,NA,NA,7.3,19,NA,NA,4.3999999999999995,19,NA,NA,0,0,3,0,1,0,0,0,0,0,0,0
2086,6329,1,60,9,4,NA,NA,2,9,NA,NA,116,9,NA,NA,47.79,9,NA,NA,9.989999999999998,9,NA,NA,0,0,7,0,0,0,0,0,1,0,0,0
2088,9091,1,32,27,1,NA,NA,20,27,NA,NA,161,27,NA,NA,15.16,27,NA,NA,10.41,27,NA,NA,0.8981999999999999,1,6,0,0,0,0,0,0,0,0,1
2129,10829,1,20,13,6,NA,NA,23,13,NA,NA,231,13,NA,NA,16.779999999999998,13,NA,NA,9.549999999999999,13,NA,NA,4.08,0,8,0,0,0,1,0,0,0,0,0
2171,10394,1,58,7,7,NA,NA,553,7,NA,NA,357,7,NA,NA,19.46,7,NA,NA,12.73,7,NA,NA,0.243,1,8,0,0,0,1,0,0,0,0,0
2195,3385,1,18,10,7,NA,NA,11,10,NA,NA,150,10,NA,NA,10.469999999999999,10,NA,NA,7.809999999999999,10,NA,NA,0.28800000000000003,1,4,0,0,0,0,0,0,0,1,0
2239,6148,1,45,3,3,NA,NA,48,3,NA,NA,94,3,NA,NA,11,3,NA,NA,8.959999999999997,3,NA,NA,0,0,8,0,0,0,1,0,0,0,0,0
2298,1705,1,38,4,4,NA,NA,42,4,NA,NA,218,4,NA,NA,11.68,4,NA,NA,9.360000000000001,4,NA,NA,0.1728,0,5,0,0,0,0,1,0,0,0,0
2446,80,1,50,10,2,NA,NA,5,10,NA,NA,822,10,NA,NA,6.91,10,NA,NA,4.999999999999999,10,NA,NA,1.8095,0,8,0,0,0,1,0,0,0,0,0
2449,11549,1,38,18,6,NA,NA,11,18,NA,NA,139,18,NA,NA,13.900000000000002,18,NA,NA,9.770000000000001,18,NA,NA,0,0,5,0,0,0,0,1,0,0,0,0
2496,2646,1,60,23,6,NA,NA,13,23,NA,NA,113,23,NA,NA,11.82,23,NA,NA,9.030000000000001,23,NA,NA,0,0,4,0,0,0,0,0,0,0,1,0
2521,2285,1,43,10,5,NA,NA,235,10,NA,NA,283,10,NA,NA,15.35,10,NA,NA,10.13,10,NA,NA,0,0,2,0,0,0,0,0,0,1,0,0
2544,7724,1,56,1,3,NA,NA,23,1,NA,NA,235,1,NA,NA,17.040000000000003,1,NA,NA,10.679999999999998,1,NA,NA,0.34380000000000005,0,1,0,0,1,0,0,0,0,0,0
2623,4550,1,18,29,3,NA,NA,122,29,NA,NA,54,29,NA,NA,2.67,29,NA,NA,1.71,29,NA,NA,0.4203,0,6,0,0,0,0,0,0,0,0,1
2683,8424,1,50,19,6,NA,NA,95,19,NA,NA,241,19,NA,NA,19.86,19,NA,NA,14.409999999999998,19,NA,NA,2.115,0,3,0,1,0,0,0,0,0,0,0
2698,1888,1,24,7,7,NA,NA,58,7,NA,NA,153,7,NA,NA,13.679999999999998,7,NA,NA,9.629999999999997,7,NA,NA,0.6129,1,8,0,0,0,1,0,0,0,0,0
2817,11048,1,23,8,7,NA,NA,14,8,NA,NA,144,8,NA,NA,13.299999999999999,8,NA,NA,9.35,8,NA,NA,0,1,8,0,0,0,1,0,0,0,0,0
2881,2856,1,35,25,6,NA,NA,8,25,NA,NA,118,25,NA,NA,8.67,25,NA,NA,6.969999999999999,25,NA,NA,0,0,6,0,0,0,0,0,0,0,0,1
2883,1157,1,72,21,3,NA,NA,48,21,NA,NA,165,21,NA,NA,17.349999999999998,21,NA,NA,11.289999999999997,21,NA,NA,0.4968000000000001,0,8,0,0,0,1,0,0,0,0,0
2885,6397,1,60,18,3,NA,NA,17,18,NA,NA,215,18,NA,NA,16.95,18,NA,NA,12.57,18,NA,NA,1.125,0,5,0,0,0,0,1,0,0,0,0
2929,6933,1,42,4,4,NA,NA,4,4,NA,NA,161,4,NA,NA,14.99,4,NA,NA,10.33,4,NA,NA,0,0,8,0,0,0,1,0,0,0,0,0
2947,6931,1,45,5,2,NA,NA,5,5,NA,NA,167,5,NA,NA,19.26,5,NA,NA,13.379999999999999,5,NA,NA,0,0,9,1,0,0,0,0,0,0,0,0
2967,1147,1,26,27,2,NA,NA,23,27,NA,NA,178,27,NA,NA,14.08,27,NA,NA,8.739999999999998,27,NA,NA,0,0,1,0,0,1,0,0,0,0,0,0
3035,7367,1,40,3,5,NA,NA,48,3,NA,NA,167,3,NA,NA,15.55,3,NA,NA,10.379999999999999,3,NA,NA,0.45,0,7,0,0,0,0,0,1,0,0,0
3043,11733,1,23,8,5,NA,NA,7,8,NA,NA,151,8,NA,NA,14.06,8,NA,NA,8.249999999999998,8,NA,NA,0.6803999999999999,0,4,0,0,0,0,0,0,0,1,0
3091,684,1,22,22,2,NA,NA,20,22,NA,NA,125,22,NA,NA,8.79,22,NA,NA,5.32,22,NA,NA,0,0,6,0,0,0,0,0,0,0,0,1
3153,3807,1,38,30,1,NA,NA,14,30,NA,NA,151,30,NA,NA,11.26,30,NA,NA,9.219999999999999,30,NA,NA,0,1,1,0,0,1,0,0,0,0,0,0
3196,5357,1,18,31,3,NA,NA,85,31,NA,NA,209,31,NA,NA,17.94,31,NA,NA,10.8,31,NA,NA,0.1791,0,7,0,0,0,0,0,1,0,0,0
3202,11803,1,20,6,3,NA,NA,31,6,NA,NA,143,6,NA,NA,17.159999999999997,6,NA,NA,10.869999999999997,6,NA,NA,0.34380000000000005,0,4,0,0,0,0,0,0,0,1,0
3390,10119,1,35,14,3,NA,NA,94,14,NA,NA,322,14,NA,NA,25.26,14,NA,NA,16.779999999999998,14,NA,NA,0,0,8,0,0,0,1,0,0,0,0,0
3429,6378,1,25,6,1,NA,NA,128,6,NA,NA,90,6,NA,NA,4.12,6,NA,NA,2.1199999999999997,6,NA,NA,0.3753,1,7,0,0,0,0,0,1,0,0,0
3549,10065,1,28,18,3,NA,NA,7,18,NA,NA,196,18,NA,NA,18.31,18,NA,NA,13.709999999999999,18,NA,NA,0,0,5,0,0,0,0,1,0,0,0,0
3560,2898,1,18,24,2,NA,NA,10,24,NA,NA,166,24,NA,NA,15.11,24,NA,NA,9.99,24,NA,NA,0,0,2,0,0,0,0,0,0,1,0,0
3571,5446,1,27,30,1,NA,NA,1,30,NA,NA,126,30,NA,NA,14.420000000000002,30,NA,NA,9.97,30,NA,NA,0,1,1,0,0,1,0,0,0,0,0,0
3586,4958,1,27,18,1,NA,NA,55,18,NA,NA,122,18,NA,NA,11.78,18,NA,NA,8.079999999999998,18,NA,NA,0.6849,1,9,1,0,0,0,0,0,0,0,0
