SUBJECT,HOUSEHOLD,SEX,AGE_YEAR,CONSUMPTION_DAY.x,WEEK_DAY,PREG_LACT.x,BREASTFEEDING.x,sum_VITA_RAE_mcg,CONSUMPTION_DAY.y,PREG_LACT.y,BREASTFEEDING.y,sum_FOLDFE_mcg,CONSUMPTION_DAY.x.x,PREG_LACT.x.x,BREASTFEEDING.x.x,sum_IRON_mg,CONSUMPTION_DAY.y.y,PREG_LACT.y.y,BREASTFEEDING.y.y,sum_ZINC_mg,CONSUMPTION_DAY,PREG_LACT,BREASTFEEDING,sum_VITB12_mcg,WEEKEND,adm2_,adm2_8,adm2_9,adm2_2,adm2_1,adm2_6,adm2_3,adm2_7,adm2_4,adm2_5
15,9354,2,38,16,5,1,NA,333,16,1,NA,236,16,1,NA,28.470000000000002,16,1,NA,19.46,16,1,NA,0,0,8,1,0,0,0,0,0,0,0,0
19,2410,2,38,16,6,1,NA,514,16,1,NA,158,16,1,NA,10.33,16,1,NA,6.5,16,1,NA,1.3644,0,9,0,1,0,0,0,0,0,0,0
30,8796,2,65,14,2,NA,NA,14,14,NA,NA,108,14,NA,NA,11.309999999999999,14,NA,NA,8.42,14,0,NA,0.8991000000000001,0,2,0,0,1,0,0,0,0,0,0
48,3714,2,43,30,1,1,NA,25,30,1,NA,88,30,1,NA,7.54,30,1,NA,5.27,30,1,NA,0,1,1,0,0,0,1,0,0,0,0,0
86,11860,2,18,12,7,1,NA,251,12,1,NA,189,12,1,NA,13.689999999999998,12,1,NA,8.019999999999998,12,1,NA,0.17550000000000002,1,6,0,0,0,0,1,0,0,0,0
110,5192,2,18,20,2,1,NA,36,20,1,NA,127,20,1,NA,9.880000000000004,20,1,NA,6.339999999999998,20,1,NA,0.9828,0,8,1,0,0,0,0,0,0,0,0
151,11183,2,30,21,6,1,NA,12,21,1,NA,135,21,1,NA,12.67,21,1,NA,8.94,21,1,NA,0.1881,0,3,0,0,0,0,0,1,0,0,0
172,8866,2,30,23,5,1,NA,190,23,1,NA,121,23,1,NA,12.139999999999999,23,1,NA,8.490000000000002,23,1,NA,0.2601,0,1,0,0,0,1,0,0,0,0,0
190,299,2,36,22,4,1,NA,378,22,1,NA,248,22,1,NA,13.209999999999999,22,1,NA,9.14,22,1,NA,0,0,8,1,0,0,0,0,0,0,0,0
192,2594,2,52,12,7,NA,NA,40,12,NA,NA,290,12,NA,NA,20.009999999999998,12,NA,NA,10.799999999999999,12,0,NA,0.8199,1,6,0,0,0,0,1,0,0,0,0
218,371,2,78,9,4,NA,NA,17,9,NA,NA,88,9,NA,NA,7.09,9,NA,NA,4.750000000000001,9,0,NA,0.5625,0,7,0,0,0,0,0,0,1,0,0
225,10134,2,56,12,5,NA,NA,96,12,NA,NA,147,12,NA,NA,13.04,12,NA,NA,8.430000000000001,12,0,NA,0,0,8,1,0,0,0,0,0,0,0,0
