INGREDIENT_ENG.y,mean_mg,sd_mg,median_mg,TRUE VALUE
BATHUA LEAVES,2.700392258,0.011737621,2.700527045,2.6
BEET GREENS,5.794202899,0.008980831,5.8,5.8
,,,,
,,,,
,,,,
CAULIFLOWER LEAVES,2.397076431,0.007176144,2.4,2.42
COLOCASIA LEAVES (black variety),3.464650386,0.523078762,3.4,
COLOCASIA LEAVES (green variety),3.398302603,0.013596973,3.4,3.41
COW PEA LEAVES,20.10030539,0.018240758,20.10185185,
DRUMSTICK LEAVES,4.598943379,0.03848597,4.6,
GARDEN CRESS,6.199041292,0.003031837,6.197530864,
GOGU,7.703184376,0.027054704,7.700272445,
GULCHARNI,10.91048538,12.25966484,3.902565268,
IPOMOEA LEAVES,3.901340583,0.007299461,3.901639344,
IPOMOEA STEMS,0.811284347,0.021741533,0.8,
KHESARI LEAVES,7.300760472,0.00403346,7.301121451,
"LETTUCE TREE LEAVES, tender",3.602666487,0.010481001,3.604251012,
MAYALU,4.19977529,0.008429581,4.2,
MENATHAKKALI LEAVES,20.513525,0.034301387,20.51020408,
Other Leafy vegetables,9.34229717,2.219056886,9,
,,,,
,,,,
PUMPKIN LEAVES,5.598382377,0.014274526,5.598930481,
PUNNAKU KEERAI,35.83119658,0.21354697,35.88461538,
RADISH LEAVES,3.799449269,0.018334037,3.798985708,
RAPE LEAVES,9.27055021,5.228672591,12.4952381,
SAFFLOWER LEAVES,5.699139581,0.010177354,5.698778833,
,,,,
SONCHAL SAG,19.49519448,0.006305553,19.49752883,
SPINACH,2.99927643,0.020705461,3,
SPINACH stalks,1.602979056,0.005908893,1.60495716,
SWEET POTATO LEAVES,10,0,10,
"TAMARIND LEAVES, tender",2.807375264,0.039606187,2.820512821,
TURNIP GREENS,28.40298507,NA,28.40298507,
