INGREDIENT_ENG.y,mean_mcg,sd_mcg,median_mcg
BATHUA LEAVES,134.2704127,1.328218113,134.3283582
BEET GREENS,213.236715,1.831867241,213.1884058
BENGAL GRAM LEAVES,0,0,0
BOTTLE GOURD LEAVES,0,0,0
BROAD BEAN LEAVES,0,0,0
CAULIFLOWER LEAVES,18.00892483,0.813232907,18.21040595
COLOCASIA LEAVES (black variety),1494.855386,32.61028302,1500
COLOCASIA LEAVES (green variety),719.9642774,1.373129751,720
COW PEA LEAVES,837.6634514,0.847849983,837.7358491
DRUMSTICK LEAVES,2192.585978,3.852737172,2192.771084
GARDEN CRESS,0,0,0
GOGU,660.6444907,2.952825568,660.5504587
GULCHARNI,292.7622536,362.8192445,0
IPOMOEA LEAVES,247.6204232,0.544769786,247.6470588
IPOMOEA STEMS,0,0,0
KHESARI LEAVES,375.0532859,0.540820573,375.2230122
"LETTUCE TREE LEAVES, tender",0,0,0
MAYALU,354.7495566,0.948131563,354.8387097
MENATHAKKALI LEAVES,0,0,0
Other Leafy vegetables,498.6937635,80.85529882,503.030303
PARWAR SAG,0,0,0
POTATO LEAVES,0,0,0
PUMPKIN LEAVES,181.7281905,1.291019737,181.8965517
PUNNAKU KEERAI,0,0,0
RADISH LEAVES,323.768274,2.306093354,323.8792315
RAPE LEAVES,123.9903646,80.43243363,171.7557252
SAFFLOWER LEAVES,442.6947847,0.904621176,442.4531803
"SINDUAR, (wild)",0,0,0
SONCHAL SAG,311.3158618,0.711298289,311.3673806
SPINACH,325.6610348,1.796616632,325.6880734
SPINACH stalks,0,0,0
SWEET POTATO LEAVES,93.48739496,0.891311069,93.48739496
"TAMARIND LEAVES, tender",19.42827457,3.021334907,20.40816327
TURNIP GREENS,1174.626866,NA,1174.626866
