"","FOODEX2_INGR_CODE","INGREDIENT_ENG"
"1","A000B","RAGI"
"2","A000D","ITALIAN MILLET"
"3","A000E","SAMAI"
"4","A000L","Other ceraeal and millets"
"5","A000M","AMARANTH SEEDS"
"6","A000T","MAIZE,dry"
"7","A000Y","VARAGU"
"8","A000Z","SANWA MILLET"
"9","A001A","BAJRA"
"10","A001B","PANIVARAGU"
"11","A001D#F10.A07XK","RICE, raw, milled"
"12","A001D#F28.A07LK$F10.A07XK","RICE, parboiled,milled"
"13","A001D#F28.A07LK$F10.A0EZZ","RICE, parboiled, handpounded"
"14","A001E","RICE, raw, handpounded"
"15","A001L","JOWAR"
"16","A001M","WHEAT, whole"
"17","A002K","BARLEY"
"18","A003Y","WHEAT, flour(refined)"
"19","A004B","WHEAT, flour(whole)"
"20","A004F","WHEAT, semolina"
"21","A004G","WHEAT, bulgar (parboiled)"
"22","A004Q","WHEAT, germ"
"23","A004Y","WHEAT, bread, (white)"
"24","A005E","WHEAT, bread, (brown)"
"25","A005Y","Biscuits(salt)"
"26","A006R","Papad"
"27","A007R#F04.A001M","WHEAT, vermicelli"
"28","A009X","BISCUITS(SWEET)"
"29","A00AN","Cake"
"30","A00BL","Bun"
"31","A00DL","OATMEAL"
"32","A00DR","RICE, puffed"
"33","A00FJ","Other Vegetables"
"34","A00FR","CAULIFLOWER"
"35","A00GC","CABBAGE"
"36","A00GH","MUSTARD LEAVES"
"37","A00GP","KNOL-KHOL GREENS"
"38","A00GV","KNOL-KHOL"
"39","A00GZ","GARLIC, dry"
"40","A00HC","ONION, small"
"41","A00HH","ONION STALKS"
"42","A00JB#F10.A0F2Q","CHILLIES, green"
"43","A00JD","BRINJAL"
"44","A00JF","LADIES FINGERS"
"45","A00JM","CUCUMBER"
"46","A00JS","VEGETABLE MARROW"
"47","A00JY","BITTER GOURD"
"48","A00JZ","CHO-CHO-MARROW"
"49","A00KB","RIDGE GOURD"
"50","A00KC","GHOSALA"
"51","A00KF","MELON, musk"
"52","A00KH","PUMPKIN"
"53","A00KH#F10.A0F2Q","TINDA, tender"
"54","A00KL","BOTTLE GOURD"
"55","A00KM","SNAKE GOURD"
"56","A00KN","ASH GUARD"
"57","A00KP","MAIZE, tender"
"58","A00KR","Other Leafy vegetables"
"59","A00KR#F01.A05AY","CAULIFLOWER LEAVES"
"60","A00KR#F01.A05DT","BOTTLE GOURD LEAVES"
"61","A00KR#F01.A05HR","BENGAL GRAM LEAVES"
"62","A00KR#F01.A05HT","BROAD BEAN LEAVES"
"63","A00KR#F01.A05JA","KHESARI LEAVES"
"64","A00KR#F01.A05KG","POTATO LEAVES"
"65","A00KR#F01.A05SG","SAFFLOWER LEAVES"
"66","A00KR#F01.A064E","TAMARIND LEAVES, tender"
"67","A00KR#F01.A0E7V","DRUMSTICK LEAVES"
"68","A00KR#F01.A0EDH","PARWAR SAG"
"69","A00KR#F26.A07XE","GULCHARNI"
"70","A00KX","LETTUCE TREE LEAVES, tender"
"71","A00LV","RAPE LEAVES"
"72","A00LY","TURNIP GREENS"
"73","A00MB","RADISH LEAVES"
"74","A00MC","SONCHAL SAG"
"75","A00MF","GOGU"
"76","A00MJ","SPINACH"
"77","A00ML","AMARANTH, paniculatus"
"78","A00ML#F01.A0E0A","AMARANTH caudatus"
"79","A00MM","MAYALU"
"80","A00MP","SINDUAR, (wild)"
"81","A00NA","IPOMOEA LEAVES"
"82","A00NL","MENATHAKKALI LEAVES"
"83","A00NV#F10.A0F2Q","COLOCASIA LEAVES (green variety)"
"84","A00NV#F10.A166Z","COLOCASIA LEAVES (black variety)"
"85","A00NX","SWEET POTATO LEAVES"
"86","A00PD","BEANS, scarlet runner"
"87","A00PG","FRENCH BEANS"
"88","A00PH","BROAD BEANS"
"89","A00PQ","CLUSTER BEANS"
"90","A00PS","SWORD BEANS"
"91","A00PV","COW PEA PODS"
"92","A00QF","BUDHIA"
"93","A00QF#F01.A064M","BANANA RHIZOME"
"94","A00QF#F02.A0ERX$F01.A058Y$F27.A00QF","TURUM SANGA"
"95","A00QG","BEET ROOT"
"96","A00QH","CARROT"
"97","A00QR","PARSNIP"
"98","A00QV","RADHISH, table"
"99","A00QY","RADISH, white"
"100","A00RE","TURNIP"
"101","A00RR#F01.A05FK","SPINACH stalks"
"102","A00RR#F01.A05FZ","IPOMOEA STEMS"
"103","A00RR#F01.A05GL","COLOCASIA STEM"
"104","A00RR#F01.A064N","PLANTAIN, stem"
"105","A00RV","BAMBOO, tender shoots"
"106","A00RY","CELERY STALK"
"107","A00SM","GARDEN CRESS"
"108","A00XA","CELERY LEAVES"
"109","A00XF","CORIANDER LEAVES"
"110","A00XG","CURRY LEAVES"
"111","A00XH","SOYA LEAVES"
"112","A00XZ","MINT"
"113","A00YL","AMBAT CHUKA"
"114","A00ZQ#F27.A00JB","CHILLIES, dry"
"115","A00ZQ#F27.A00NV","COLACASIA LEAVES (dried)"
"116","A00ZS","Other Roots & Tubers"
"117","A00ZT","POTATO"
"118","A00ZZ","TAPIOCA"
"119","A010B","COLOCASIA"
"120","A010C","SWEET POTATO"
"121","A010D","YAM, ordinary"
"122","A012J","PEAS green"
"123","A012J#F28.A07GY","PEAS, roasted"
"124","A012K","RED GRAM, tender"
"125","A012V","RAJMAH"
"126","A012Y","FIELD BEAN, dry"
"127","A013A","DOUBLE BEANS"
"128","A013C","BLACK GRAM, dhal"
"129","A013D#F20.A07QY","GREEN GRAM, whole"
"130","A013D#F20.A07QZ","GREEN GRAM, dhal"
"131","A013G","MOTH BEANS"
"132","A013J","PEAS, dry"
"133","A013M","BENGAL GRAM, dhal"
"134","A013M#F10.A06HR","BENGAL GRAM, whole"
"135","A013M#F28.A07GY","BENGAL GRAM, roasted"
"136","A013N","COWPEA"
"137","A013P","RED GRAM, dhal"
"138","A013Q","LENTIL"
"139","A013V","KHESARI, dhal"
"140","A014A","HORSE GRAM, whole"
"141","A014C#F04.A015H$F04.A06HL","Mixture"
"142","A014D","ALMOND"
"143","A014H","CASHEWNUT"
"144","A014K#F10.A0F2Q","COCONUT tender"
"145","A014K#F10.A166Y","COCONUT, fresh"
"146","A014Q","PISTACHIONUT"
"147","A014R","WALNUT"
"148","A014S","PIYAL SEEDS"
"149","A015F#F26.A07XE","MAHUA"
"150","A015G","LINSEED"
"151","A015H","GROUNDNUT"
"152","A015H#F28.A07GY","GROUNDNUT, roasted"
"153","A015J","POPPY SEEDS"
"154","A015K","GINGELLY SEEDS"
"155","A015L","SUNFLOWER SEEDS"
"156","A015S","MUSTARD SEEDS"
"157","A015Y","SAFFLOWER SEEDS"
"158","A016D","DAINCHA SEEDS"
"159","A016D#F01.A059A","RAJKEERA SEEDS"
"160","A016D#F01.A05ER","GARDEN CRESS SEEDS"
"161","A016D#F01.A05LC","BAMBOO SEEDS"
"162","A016D#F01.A065B","JACK, fruit seed"
"163","A016D#F01.A0E7Z","LOTUS SEED"
"164","A016F","NIGER SEEDS"
"165","A016S","Other Condiments & Spices"
"166","A018D","CORIANDER"
"167","A018E","CUMIN SEEDS"
"168","A018H","FENUGREEK SEEDS"
"169","A018J","NUTMEG"
"170","A018L","OMUM"
"171","A018V#F10.A166Y","CARDAMOM/ELACHI"
"172","A019A","PEPPER, green"
"173","A019C","PEPPER, dry"
"174","A019E","ARISITHIPPILI"
"175","A019J","TAMARIND PULP"
"176","A019J#F28.A07GY$F20.A0F1K","TAMARIND SEED KERNEL, roasted"
"177","A01AB","GINGER, fresh"
"178","A01AC","TURMERIC"
"179","A01AF","ASAFOETIDA"
"180","A01AL","CLOVES, dry"
"181","A01AL#F10.A0F2Q","CLOVES, green"
"182","A01AV","MACE"
