SUBJECT,HOUSEHOLD,SEX,AGE_YEAR,CONSUMPTION_DAY,sum_VITA_RAE_mcg,sum_FOLDFE_mcg,sum_IRON_mg,sum_ZINC_mg,WEEKEND,adm2_,adm2_1,adm2_5,adm2_6,adm2_4,adm2_2,adm2_3,adm2_8,adm2_7
23,4964,1,60,13,46,138,49.81999999999999,6.449999999999998,0,1,1,0,0,0,0,0,0,0
43,4100,1,18,1,82,217,21.09,13.85,1,5,0,1,0,0,0,0,0,0
80,7529,2,23,28,32,169,16.740000000000002,11.209999999999999,0,6,0,0,1,0,0,0,0,0
95,10356,2,35,25,282,303,23.919999999999998,15.149999999999999,0,4,0,0,0,1,0,0,0,0
111,5657,1,25,17,37,227,23.97,12.739999999999998,0,1,1,0,0,0,0,0,0,0
189,5054,1,47,23,270,179,16.330000000000002,10.59,0,2,0,0,0,0,1,0,0,0
196,9637,2,28,30,10,185,18.860000000000003,9.479999999999999,0,3,0,0,0,0,0,1,0,0
268,3467,2,21,19,33,152,19.359999999999996,13.03,0,4,0,0,0,1,0,0,0,0
273,7074,1,19,19,66,126,9.45,5.6899999999999995,0,8,0,0,0,0,0,0,1,0
304,7041,1,26,9,80,196,22.950000000000003,15.14,0,2,0,0,0,0,1,0,0,0
372,8596,1,50,13,232,328,28.330000000000002,17.9,0,4,0,0,0,1,0,0,0,0
382,5497,2,31,19,38,172,21.49,14.309999999999999,0,4,0,0,0,1,0,0,0,0
383,292,2,32,20,117,138,11.46,7.720000000000001,0,8,0,0,0,0,0,0,1,0
401,5153,1,45,3,155,192,15.78,13.47,0,2,0,0,0,0,1,0,0,0
411,771,2,18,16,45,242,25.810000000000002,17.23,0,1,1,0,0,0,0,0,0,0
430,954,2,36,21,41,197,21.639999999999997,14.52,0,8,0,0,0,0,0,0,1,0
450,8025,2,24,27,21,92,9.719999999999999,6.219999999999999,0,2,0,0,0,0,1,0,0,0
509,7609,2,44,27,84,106,9.18,7.87,0,2,0,0,0,0,1,0,0,0
511,1986,1,70,23,133,174,12.65,8.909999999999998,0,4,0,0,0,1,0,0,0,0
521,1670,2,25,24,48,175,18.270000000000007,12.309999999999997,0,7,0,0,0,0,0,0,0,1
532,1715,1,50,22,50,243,24.62,16.62,0,2,0,0,0,0,1,0,0,0
604,9363,1,40,19,76,238,25.38,17.2,0,7,0,0,0,0,0,0,0,1
626,8946,1,34,3,13,217,25.89,17.02,0,5,0,1,0,0,0,0,0,0
633,3294,1,28,25,31,170,19.16,13.670000000000002,0,1,1,0,0,0,0,0,0,0
640,11169,1,29,15,21,194,15.56,7.759999999999999,0,6,0,0,1,0,0,0,0,0
650,7463,2,55,13,39,211,23.46,15.97,0,1,1,0,0,0,0,0,0,0
716,8528,1,23,18,29,259,47.89000000000001,10.79,0,6,0,0,1,0,0,0,0,0
718,8413,1,52,21,75,203,17.270000000000003,11.339999999999998,0,4,0,0,0,1,0,0,0,0
729,9176,2,43,20,286,162,17.6,11.68,0,5,0,1,0,0,0,0,0,0
744,7551,2,30,25,10,201,21.24,14.2,0,8,0,0,0,0,0,0,1,0
770,6421,2,27,21,307,114,10.06,4.529999999999999,0,2,0,0,0,0,1,0,0,0
784,4927,2,19,16,52,235,27.5,18.310000000000002,0,1,1,0,0,0,0,0,0,0
786,9890,2,20,19,217,188,22.6,14.569999999999999,0,4,0,0,0,1,0,0,0,0
837,7630,2,24,17,86,173,11.8,7.4,0,1,1,0,0,0,0,0,0,0
844,11389,1,30,22,15,214,22.94,15.060000000000002,0,4,0,0,0,1,0,0,0,0
845,5874,2,25,27,18,186,20.439999999999998,13.44,0,2,0,0,0,0,1,0,0,0
870,6464,2,38,9,95,183,17.010000000000005,12.389999999999999,0,2,0,0,0,0,1,0,0,0
877,9013,2,38,22,29,160,15.45,10.42,0,2,0,0,0,0,1,0,0,0
879,8067,1,45,17,29,135,14.4,9.420000000000002,0,3,0,0,0,0,0,1,0,0
893,771,1,23,16,45,242,25.810000000000002,17.23,0,1,1,0,0,0,0,0,0,0
945,4419,1,21,19,115,261,24.530000000000005,16.240000000000002,0,4,0,0,0,1,0,0,0,0
955,6796,2,32,12,353,336,27.22,16.38,0,6,0,0,1,0,0,0,0,0
958,2125,1,32,22,20,187,22.430000000000007,15.01,0,5,0,1,0,0,0,0,0,0
1016,4374,2,48,22,155,303,14.530000000000001,8.319999999999999,0,8,0,0,0,0,0,0,1,0
