SUBJECT,HOUSEHOLD,SEX,AGE_YEAR,CONSUMPTION_DAY,sum_ENERGY_kcal,WEEKEND,adm2_,adm2_6,adm2_3,adm2_2,adm2_7,adm2_4,adm2_8,adm2_1,adm2_5
13,5224,1,28,8,3135,0,6,1,0,0,0,0,0,0,0
22,6638,1,32,31,2463,0,3,0,1,0,0,0,0,0,0
45,3469,1,51,20,2073,0,3,0,1,0,0,0,0,0,0
143,4597,1,35,23,1635,0,2,0,0,1,0,0,0,0,0
153,3424,1,29,25,2337,0,6,1,0,0,0,0,0,0,0
176,3862,1,40,25,1838,0,2,0,0,1,0,0,0,0,0
198,6940,1,62,27,844,0,7,0,0,0,1,0,0,0,0
212,11693,1,38,22,3516,0,3,0,1,0,0,0,0,0,0
318,11275,1,45,29,1883,0,4,0,0,0,0,1,0,0,0
329,7139,1,50,4,1343,0,4,0,0,0,0,1,0,0,0
340,10359,1,67,25,1969,0,2,0,0,1,0,0,0,0,0
350,9327,1,21,18,766,0,8,0,0,0,0,0,1,0,0
363,11475,1,58,3,1629,0,4,0,0,0,0,1,0,0,0
371,8927,1,49,24,3324,0,3,0,1,0,0,0,0,0,0
478,3218,1,80,21,1240,0,2,0,0,1,0,0,0,0,0
496,10211,1,36,30,1881,0,3,0,1,0,0,0,0,0,0
555,459,1,40,14,2360,0,1,0,0,0,0,0,0,1,0
575,3176,1,19,20,1107,0,8,0,0,0,0,0,1,0,0
579,5606,1,30,27,663,0,5,0,0,0,0,0,0,0,1
612,8370,1,32,2,692,0,4,0,0,0,0,1,0,0,0
670,5339,1,25,14,2556,0,7,0,0,0,1,0,0,0,0
674,6515,1,31,17,2703,0,5,0,0,0,0,0,0,0,1
697,3270,1,50,18,2420,0,5,0,0,0,0,0,0,0,1
815,1988,1,42,13,3175,0,5,0,0,0,0,0,0,0,1
832,9450,1,30,9,2130,0,5,0,0,0,0,0,0,0,1
839,5926,1,59,23,2535,0,2,0,0,1,0,0,0,0,0
850,10994,1,60,31,1965,0,2,0,0,1,0,0,0,0,0
1067,2061,1,69,7,2953,1,4,0,0,0,0,1,0,0,0
1092,2796,1,53,16,1763,0,7,0,0,0,1,0,0,0,0
1103,9518,1,19,23,1997,0,2,0,0,1,0,0,0,0,0
1160,4447,1,25,12,1795,0,8,0,0,0,0,0,1,0,0
1175,10177,1,50,22,2219,0,3,0,1,0,0,0,0,0,0
1186,3269,1,30,21,2190,0,1,0,0,0,0,0,0,1,0
1194,9839,1,65,31,1518,0,3,0,1,0,0,0,0,0,0
1199,6480,1,22,24,927,0,3,0,1,0,0,0,0,0,0
1217,9236,1,22,21,2167,0,1,0,0,0,0,0,0,1,0
1237,4913,1,24,24,1870,0,4,0,0,0,0,1,0,0,0
1323,3895,1,38,27,2766,0,5,0,0,0,0,0,0,0,1
1359,2007,1,25,20,2732,0,7,0,0,0,1,0,0,0,0
1382,3631,1,18,23,2960,0,7,0,0,0,1,0,0,0,0
1404,9681,1,75,16,2479,0,7,0,0,0,1,0,0,0,0
1420,10108,1,35,24,3036,0,3,0,1,0,0,0,0,0,0
