SUBJECT,HOUSEHOLD,SEX,AGE_YEAR,CONSUMPTION_DAY,sum_ENERGY_kcal,WEEKEND,adm2_,adm2_7,adm2_9,adm2_3,adm2_6,adm2_8,adm2_1,adm2_4,adm2_10,adm2_5,adm2_2
44,11566,1,21,8,1994,0,7,1,0,0,0,0,0,0,0,0,0
65,5737,1,58,9,2204,0,9,0,1,0,0,0,0,0,0,0,0
100,10449,1,25,18,2356,0,3,0,0,1,0,0,0,0,0,0,0
141,1029,1,60,24,1483,0,6,0,0,0,1,0,0,0,0,0,0
164,10142,1,65,19,742,0,8,0,0,0,0,1,0,0,0,0,0
199,10493,1,65,8,2413,0,7,1,0,0,0,0,0,0,0,0,0
263,4882,1,55,22,1900,0,3,0,0,1,0,0,0,0,0,0,0
352,6504,1,18,10,1848,0,3,0,0,1,0,0,0,0,0,0,0
396,10541,1,50,9,2277,0,9,0,1,0,0,0,0,0,0,0,0
497,8890,1,48,1,1603,1,9,0,1,0,0,0,0,0,0,0,0
517,2139,1,22,1,2863,1,6,0,0,0,1,0,0,0,0,0,0
523,3367,1,23,20,2743,0,1,0,0,0,0,0,1,0,0,0,0
549,4066,1,30,4,3552,0,1,0,0,0,0,0,1,0,0,0,0
570,8256,1,50,26,2285,0,4,0,0,0,0,0,0,1,0,0,0
576,3784,1,21,2,3115,0,8,0,0,0,0,1,0,0,0,0,0
597,7013,1,24,7,1445,1,7,1,0,0,0,0,0,0,0,0,0
607,6151,1,32,29,2523,0,6,0,0,0,1,0,0,0,0,0,0
667,3784,1,49,2,3599,0,8,0,0,0,0,1,0,0,0,0,0
693,7013,1,45,7,2014,1,7,1,0,0,0,0,0,0,0,0,0
701,6046,1,38,28,3113,0,1,0,0,0,0,0,1,0,0,0,0
733,2209,1,22,4,1399,0,10,0,0,0,0,0,0,0,1,0,0
738,8762,1,42,30,2188,0,5,0,0,0,0,0,0,0,0,1,0
858,4117,1,40,9,2255,0,9,0,1,0,0,0,0,0,0,0,0
890,8592,1,35,8,3000,0,10,0,0,0,0,0,0,0,1,0,0
962,2716,1,24,26,1714,0,4,0,0,0,0,0,0,1,0,0,0
968,4282,1,35,12,1714,0,7,1,0,0,0,0,0,0,0,0,0
1108,206,1,76,8,2192,0,10,0,0,0,0,0,0,0,1,0,0
1139,5556,1,34,10,1808,0,8,0,0,0,0,1,0,0,0,0,0
1148,5072,1,40,21,1734,0,10,0,0,0,0,0,0,0,1,0,0
1179,9297,1,28,7,3274,1,3,0,0,1,0,0,0,0,0,0,0
1229,11497,1,68,23,1510,0,7,1,0,0,0,0,0,0,0,0,0
1243,4677,1,24,2,2565,0,8,0,0,0,0,1,0,0,0,0,0
1246,10842,1,26,7,2147,1,5,0,0,0,0,0,0,0,0,1,0
1247,8425,1,55,21,1081,0,8,0,0,0,0,1,0,0,0,0,0
1260,1592,1,66,31,2769,0,8,0,0,0,0,1,0,0,0,0,0
1263,1425,1,55,23,1898,0,8,0,0,0,0,1,0,0,0,0,0
1287,11081,1,60,22,2018,0,1,0,0,0,0,0,1,0,0,0,0
1310,4788,1,50,12,2066,0,7,1,0,0,0,0,0,0,0,0,0
1319,7988,1,28,30,2374,0,5,0,0,0,0,0,0,0,0,1,0
1357,1420,1,65,24,2667,0,6,0,0,0,1,0,0,0,0,0,0
1362,4911,1,35,6,1664,0,3,0,0,1,0,0,0,0,0,0,0
1368,9411,1,42,16,1389,0,3,0,0,1,0,0,0,0,0,0,0
1423,8069,1,70,8,2833,0,7,1,0,0,0,0,0,0,0,0,0
1441,126,1,24,26,1924,0,1,0,0,0,0,0,1,0,0,0,0
1444,7549,1,60,19,1382,0,10,0,0,0,0,0,0,0,1,0,0
1449,10230,1,52,7,1306,1,9,0,1,0,0,0,0,0,0,0,0
1478,10230,1,32,7,976,1,9,0,1,0,0,0,0,0,0,0,0
1519,7267,1,22,14,1414,0,4,0,0,0,0,0,0,1,0,0,0
1522,5084,1,60,2,2094,0,2,0,0,0,0,0,0,0,0,0,1
