SUBJECT,HOUSEHOLD,SEX,AGE_YEAR,CONSUMPTION_DAY,sum_ENERGY_kcal,WEEKEND,adm2_,adm2_9,adm2_11,adm2_10,adm2_4,adm2_5,adm2_3,adm2_7,adm2_8,adm2_12,adm2_6,adm2_2,adm2_1
28,2867,1,62,8,3645,0,9,1,0,0,0,0,0,0,0,0,0,0,0
67,5686,1,65,27,1944,0,11,0,1,0,0,0,0,0,0,0,0,0,0
81,4580,1,25,29,2332,0,10,0,0,1,0,0,0,0,0,0,0,0,0
83,7836,1,29.1,20,1945,0,4,0,0,0,1,0,0,0,0,0,0,0,0
89,1897,1,59,18,2410,0,4,0,0,0,1,0,0,0,0,0,0,0,0
175,2793,1,50,11,3027,0,5,0,0,0,0,1,0,0,0,0,0,0,0
187,3492,1,18,29,1310,0,10,0,0,1,0,0,0,0,0,0,0,0,0
217,11124,1,55,28,1741,0,10,0,0,1,0,0,0,0,0,0,0,0,0
323,368,1,27,28,4356,0,11,0,1,0,0,0,0,0,0,0,0,0,0
341,6142,1,40,8,1675,0,11,0,1,0,0,0,0,0,0,0,0,0,0
366,579,1,24,29,2338,0,3,0,0,0,0,0,1,0,0,0,0,0,0
374,1558,1,45,18,1592,0,5,0,0,0,0,1,0,0,0,0,0,0,0
377,7625,1,60,18,3573,0,4,0,0,0,1,0,0,0,0,0,0,0,0
380,3389,1,35,13,1785,0,9,1,0,0,0,0,0,0,0,0,0,0,0
403,6622,1,23,13,744,0,7,0,0,0,0,0,0,1,0,0,0,0,0
419,11274,1,21,13,464,0,7,0,0,0,0,0,0,1,0,0,0,0,0
420,10058,1,60,9,1923,0,8,0,0,0,0,0,0,0,1,0,0,0,0
433,10608,1,54,22,2733,0,9,1,0,0,0,0,0,0,0,0,0,0,0
449,3230,1,60,18,1845,0,5,0,0,0,0,1,0,0,0,0,0,0,0
458,577,1,80,11,1426,0,5,0,0,0,0,1,0,0,0,0,0,0,0
482,8007,1,65,4,3582,0,7,0,0,0,0,0,0,1,0,0,0,0,0
510,10671,1,23,21,3658,0,12,0,0,0,0,0,0,0,0,1,0,0,0
531,563,1,65,28,2060,0,3,0,0,0,0,0,1,0,0,0,0,0,0
544,4734,1,44,11,1498,0,9,1,0,0,0,0,0,0,0,0,0,0,0
553,11428,1,45,17,1689,0,5,0,0,0,0,1,0,0,0,0,0,0,0
587,1110,1,32,28,2189,0,3,0,0,0,0,0,1,0,0,0,0,0,0
613,8053,1,45,28,1083,0,7,0,0,0,0,0,0,1,0,0,0,0,0
637,4792,1,45,14,1090,0,4,0,0,0,1,0,0,0,0,0,0,0,0
638,7617,1,50,18,1868,0,4,0,0,0,1,0,0,0,0,0,0,0,0
654,9619,1,66,16,2252,0,6,0,0,0,0,0,0,0,0,0,1,0,0
660,4857,1,42,11,952,0,4,0,0,0,1,0,0,0,0,0,0,0,0
681,7124,1,22,18,2546,0,6,0,0,0,0,0,0,0,0,0,1,0,0
689,8383,1,38,6,4901,0,9,1,0,0,0,0,0,0,0,0,0,0,0
751,5990,1,29,21,2936,0,12,0,0,0,0,0,0,0,0,1,0,0,0
754,9097,1,27,26,1394,0,7,0,0,0,0,0,0,1,0,0,0,0,0
773,7225,1,43,18,1636,0,5,0,0,0,0,1,0,0,0,0,0,0,0
787,4520,1,40,13,1708,0,6,0,0,0,0,0,0,0,0,0,1,0,0
849,1656,1,50,20,1776,0,4,0,0,0,1,0,0,0,0,0,0,0,0
857,11062,1,21,22,2872,0,11,0,1,0,0,0,0,0,0,0,0,0,0
868,2480,1,70,22,1526,0,4,0,0,0,1,0,0,0,0,0,0,0,0
875,5623,1,42,11,2336,0,5,0,0,0,0,1,0,0,0,0,0,0,0
920,4794,1,39,17,1514,0,5,0,0,0,0,1,0,0,0,0,0,0,0
946,9034,1,18,21,1338,0,6,0,0,0,0,0,0,0,0,0,1,0,0
953,6622,1,26,13,716,0,7,0,0,0,0,0,0,1,0,0,0,0,0
972,8576,1,58,15,2398,0,5,0,0,0,0,1,0,0,0,0,0,0,0
975,8337,1,53,19,2454,0,2,0,0,0,0,0,0,0,0,0,0,1,0
1072,7134,1,38,6,2168,0,11,0,1,0,0,0,0,0,0,0,0,0,0
1083,10948,1,70,21,302,0,4,0,0,0,1,0,0,0,0,0,0,0,0
1090,6059,1,75,16,2012,0,4,0,0,0,1,0,0,0,0,0,0,0,0
1094,1999,1,51,29,1397,0,10,0,0,1,0,0,0,0,0,0,0,0,0
1140,4460,1,39,18,1673,0,7,0,0,0,0,0,0,1,0,0,0,0,0
1142,4583,1,32,21,1784,0,10,0,0,1,0,0,0,0,0,0,0,0,0
1234,10372,1,25,24,1331,0,12,0,0,0,0,0,0,0,0,1,0,0,0
1296,3151,1,35,18,2628,0,8,0,0,0,0,0,0,0,1,0,0,0,0
1371,8948,1,60,14,1868,0,8,0,0,0,0,0,0,0,1,0,0,0,0
1385,6736,1,25,26,2213,0,12,0,0,0,0,0,0,0,0,1,0,0,0
1400,4906,1,38,20,3446,0,1,0,0,0,0,0,0,0,0,0,0,0,1
1410,6337,1,18,29,2574,0,10,0,0,1,0,0,0,0,0,0,0,0,0
1412,5267,1,38,10,2232,0,7,0,0,0,0,0,0,1,0,0,0,0,0
1415,6404,1,60,6,2994,0,7,0,0,0,0,0,0,1,0,0,0,0,0
1502,8358,1,40,18,1540,0,10,0,0,1,0,0,0,0,0,0,0,0,0
1559,10287,1,18,29,2815,0,10,0,0,1,0,0,0,0,0,0,0,0,0
1569,6036,1,59,24,764,0,12,0,0,0,0,0,0,0,0,1,0,0,0
1591,3708,1,50,6,2965,0,9,1,0,0,0,0,0,0,0,0,0,0,0
1593,1595,1,30,8,3329,0,11,0,1,0,0,0,0,0,0,0,0,0,0
1689,606,1,30,18,2473,0,12,0,0,0,0,0,0,0,0,1,0,0,0
1733,1112,1,38,13,1960,0,12,0,0,0,0,0,0,0,0,1,0,0,0
1858,11096,1,32,6,2018,0,11,0,1,0,0,0,0,0,0,0,0,0,0
