SUBJECT,HOUSEHOLD,SEX,AGE_YEAR,CONSUMPTION_DAY,sum_ENERGY_kcal,WEEKEND,adm2_,adm2_2,adm2_6,adm2_3,adm2_7,adm2_8,adm2_1,adm2_4,adm2_5
38,6121,1,37,14,1512,0,2,1,0,0,0,0,0,0,0
79,6012,1,22,30,1072,0,6,0,1,0,0,0,0,0,0
97,3580,1,38,29,2539,0,3,0,0,1,0,0,0,0,0
120,10453,1,40,19,1898,0,7,0,0,0,1,0,0,0,0
149,4663,1,54,19,2265,0,8,0,0,0,0,1,0,0,0
201,1672,1,58,10,1251,0,1,0,0,0,0,0,1,0,0
214,5356,1,50,19,2195,0,3,0,0,1,0,0,0,0,0
289,9067,1,19,21,943,0,8,0,0,0,0,1,0,0,0
315,3161,1,23,24,1424,0,3,0,0,1,0,0,0,0,0
405,10174,1,53,9,1927,0,4,0,0,0,0,0,0,1,0
466,8223,1,20,11,1222,0,8,0,0,0,0,1,0,0,0
580,1744,1,36,6,1274,0,6,0,1,0,0,0,0,0,0
600,156,1,40,28,1485,0,6,0,1,0,0,0,0,0,0
611,3285,1,26,3,1100,0,7,0,0,0,1,0,0,0,0
632,8919,1,36,12,1384,0,8,0,0,0,0,1,0,0,0
642,1409,1,65,27,1578,0,4,0,0,0,0,0,0,1,0
658,8017,1,52,26,1587,0,7,0,0,0,1,0,0,0,0
767,1495,1,19,1,1265,1,6,0,1,0,0,0,0,0,0
778,10763,1,55,9,2170,0,4,0,0,0,0,0,0,1,0
824,1845,1,28,28,2307,0,3,0,0,1,0,0,0,0,0
895,5860,1,30,9,1121,0,8,0,0,0,0,1,0,0,0
899,3733,1,43,28,1800,0,7,0,0,0,1,0,0,0,0
933,9696,1,65,10,1713,0,6,0,1,0,0,0,0,0,0
935,4589,1,53,12,1370,0,1,0,0,0,0,0,1,0,0
1070,3277,1,52,20,1317,0,8,0,0,0,0,1,0,0,0
1113,6916,1,40,13,1248,0,1,0,0,0,0,0,1,0,0
1235,1572,1,47,21,2333,0,3,0,0,1,0,0,0,0,0
1293,303,1,82,27,340,0,4,0,0,0,0,0,0,1,0
1302,1444,1,45,12,1601,0,6,0,1,0,0,0,0,0,0
1377,4856,1,65,10,1412,0,2,1,0,0,0,0,0,0,0
1390,240,1,29,30,1485,0,6,0,1,0,0,0,0,0,0
1433,467,1,39,6,1909,0,8,0,0,0,0,1,0,0,0
1455,7409,1,77,9,1234,0,6,0,1,0,0,0,0,0,0
1463,340,1,60,20,1746,0,5,0,0,0,0,0,0,0,1
1476,1659,1,21,20,1315,0,8,0,0,0,0,1,0,0,0
1504,6455,1,45,11,2112,0,1,0,0,0,0,0,1,0,0
1588,3481,1,74,5,1724,0,3,0,0,1,0,0,0,0,0
1674,9367,1,51,17,1347,0,7,0,0,0,1,0,0,0,0
1690,1242,1,21,12,1130,0,8,0,0,0,0,1,0,0,0
1716,1391,1,19,19,1487,0,8,0,0,0,0,1,0,0,0
1718,3405,1,28,25,1547,0,7,0,0,0,1,0,0,0,0
1742,11099,1,30,14,2023,0,4,0,0,0,0,0,0,1,0
1771,5473,1,44,11,2072,0,4,0,0,0,0,0,0,1,0
1783,10324,1,45,14,1361,0,2,1,0,0,0,0,0,0,0
1830,4515,1,60,1,1502,1,6,0,1,0,0,0,0,0,0
1848,4825,1,77,12,1990,0,6,0,1,0,0,0,0,0,0
1855,5261,1,37,8,1611,0,3,0,0,1,0,0,0,0,0
1857,426,1,33,17,1376,0,2,1,0,0,0,0,0,0,0
1859,1495,1,19,1,1265,1,6,0,1,0,0,0,0,0,0
1884,4502,1,46,21,1382,0,8,0,0,0,0,1,0,0,0
1906,9296,1,28,26,2307,0,7,0,0,0,1,0,0,0,0
1931,2627,1,34,20,1880,0,8,0,0,0,0,1,0,0,0
1970,4067,1,22,26,1757,0,5,0,0,0,0,0,0,0,1
2005,11155,1,42,28,1324,0,3,0,0,1,0,0,0,0,0
2029,9254,1,82,24,1773,0,3,0,0,1,0,0,0,0,0
2147,9770,1,35,19,1231,0,8,0,0,0,0,1,0,0,0
2189,6627,1,61,1,1472,1,1,0,0,0,0,0,1,0,0
2241,477,1,65,2,931,0,6,0,1,0,0,0,0,0,0
2246,3072,1,21,8,1833,0,1,0,0,0,0,0,1,0,0
2257,9875,1,72,10,997,0,2,1,0,0,0,0,0,0,0
2259,8715,1,40,21,1301,0,8,0,0,0,0,1,0,0,0
2301,3302,1,38,26,1354,0,1,0,0,0,0,0,1,0,0
2312,3949,1,70,8,1892,0,1,0,0,0,0,0,1,0,0
2320,2663,1,61,26,2678,0,7,0,0,0,1,0,0,0,0
2332,4687,1,21,24,1216,0,5,0,0,0,0,0,0,0,1
2369,4838,1,59,6,2182,0,3,0,0,1,0,0,0,0,0
2418,4048,1,27,23,1521,0,5,0,0,0,0,0,0,0,1
2435,8806,1,52,22,1736,0,8,0,0,0,0,1,0,0,0
2471,128,1,37,23,1426,0,5,0,0,0,0,0,0,0,1
2512,9821,1,30,23,2775,0,7,0,0,0,1,0,0,0,0
2537,11780,1,38,26,1931,0,7,0,0,0,1,0,0,0,0
2543,6607,1,42,19,1402,0,8,0,0,0,0,1,0,0,0
2583,3027,1,24,30,2396,0,1,0,0,0,0,0,1,0,0
2667,10429,1,34,7,1886,1,6,0,1,0,0,0,0,0,0
2848,4016,1,30,12,826,0,8,0,0,0,0,1,0,0,0
2894,1316,1,67,6,3163,0,3,0,0,1,0,0,0,0,0
2963,11858,1,42,15,1569,0,4,0,0,0,0,0,0,1,0
3012,8807,1,69,21,1357,0,1,0,0,0,0,0,1,0,0
3057,10714,1,75,24,1002,0,8,0,0,0,0,1,0,0,0
3083,3414,1,39,25,1568,0,7,0,0,0,1,0,0,0,0
3110,3134,1,51,8,1833,0,8,0,0,0,0,1,0,0,0
3258,10467,1,60,16,1586,0,3,0,0,1,0,0,0,0,0
3263,8379,1,60,12,1390,0,6,0,1,0,0,0,0,0,0
