SUBJECT,HOUSEHOLD,SEX,AGE_YEAR,CONSUMPTION_DAY,PREG_LACT,BREASTFEEDING,sum_ENERGY_kcal,WEEKEND,adm2_,adm2_3,adm2_8,adm2_11,adm2_6,adm2_9,adm2_2,adm2_4,adm2_1,adm2_10,adm2_7,adm2_5
56,626,1,53,14,NA,NA,1114,0,3,1,0,0,0,0,0,0,0,0,0,0
66,2639,1,39,18,NA,NA,1286,0,8,0,1,0,0,0,0,0,0,0,0,0
154,6637,1,70,15,NA,NA,1622,0,11,0,0,1,0,0,0,0,0,0,0,0
252,6171,1,50,4,NA,NA,2110,0,6,0,0,0,1,0,0,0,0,0,0,0
291,882,1,35,18,NA,NA,912,0,8,0,1,0,0,0,0,0,0,0,0,0
296,6722,1,30,22,NA,NA,1034,0,8,0,1,0,0,0,0,0,0,0,0,0
321,2072,1,51,20,NA,NA,1258,0,9,0,0,0,0,1,0,0,0,0,0,0
351,5294,1,45,19,NA,NA,2979,0,2,0,0,0,0,0,1,0,0,0,0,0
394,2180,1,32,16,NA,NA,1725,0,4,0,0,0,0,0,0,1,0,0,0,0
423,8382,1,33,19,NA,NA,1400,0,11,0,0,1,0,0,0,0,0,0,0,0
441,9026,1,63,14,NA,NA,2061,0,4,0,0,0,0,0,0,1,0,0,0,0
498,7219,1,69,21,NA,NA,608,0,1,0,0,0,0,0,0,0,1,0,0,0
542,10278,1,55,11,NA,NA,1635,0,10,0,0,0,0,0,0,0,0,1,0,0
562,1649,1,23,20,NA,NA,2007,0,1,0,0,0,0,0,0,0,1,0,0,0
564,5604,1,51,14,NA,NA,1543,0,3,1,0,0,0,0,0,0,0,0,0,0
596,7965,1,32,16,NA,NA,2836,0,3,1,0,0,0,0,0,0,0,0,0,0
624,5098,1,80,15,NA,NA,1982,0,1,0,0,0,0,0,0,0,1,0,0,0
790,6971,1,25,19,NA,NA,1299,0,11,0,0,1,0,0,0,0,0,0,0,0
804,4393,1,20,5,NA,NA,2234,0,6,0,0,0,1,0,0,0,0,0,0,0
810,10418,1,84,25,NA,NA,1339,0,4,0,0,0,0,0,0,1,0,0,0,0
813,1708,1,78,14,NA,NA,1886,0,3,1,0,0,0,0,0,0,0,0,0,0
