SUBJECT,HOUSEHOLD,SEX,AGE_YEAR,CONSUMPTION_DAY,PREG_LACT,BREASTFEEDING,sum_ENERGY_kcal,WEEKEND,adm2_,adm2_2,adm2_4,adm2_3,adm2_5,adm2_7,adm2_6,adm2_11,adm2_10,adm2_8,adm2_1,adm2_9
42,591,1,25,23,NA,NA,2460,0,2,1,0,0,0,0,0,0,0,0,0,0
82,9307,1,40,29,NA,NA,2204,0,4,0,1,0,0,0,0,0,0,0,0,0
103,10684,1,53,22,NA,NA,2564,0,2,1,0,0,0,0,0,0,0,0,0,0
145,10220,1,51,30,NA,NA,2249,0,3,0,0,1,0,0,0,0,0,0,0,0
160,10839,1,22,12,NA,NA,1807,0,5,0,0,0,1,0,0,0,0,0,0,0
213,8918,1,38,3,NA,NA,2319,0,7,0,0,0,0,1,0,0,0,0,0,0
322,2093,1,36,29,NA,NA,2337,0,6,0,0,0,0,0,1,0,0,0,0,0
404,5187,1,30,16,NA,NA,2177,0,11,0,0,0,0,0,0,1,0,0,0,0
417,412,1,40,17,NA,NA,2348,0,10,0,0,0,0,0,0,0,1,0,0,0
475,222,1,48,19,NA,NA,2343,0,8,0,0,0,0,0,0,0,0,1,0,0
535,6358,1,20,22,NA,NA,2080,0,1,0,0,0,0,0,0,0,0,0,1,0
556,2743,1,18,27,NA,NA,2093,0,3,0,0,1,0,0,0,0,0,0,0,0
639,3222,1,65,25,NA,NA,1097,0,6,0,0,0,0,0,1,0,0,0,0,0
653,2518,1,55,9,NA,NA,1990,0,3,0,0,1,0,0,0,0,0,0,0,0
662,9184,1,65,24,NA,NA,2554,0,5,0,0,0,1,0,0,0,0,0,0,0
690,5162,1,65,24,NA,NA,2203,0,2,1,0,0,0,0,0,0,0,0,0,0
691,4668,1,35,2,NA,NA,2706,0,1,0,0,0,0,0,0,0,0,0,1,0
723,3896,1,36,10,NA,NA,2261,0,3,0,0,1,0,0,0,0,0,0,0,0
726,865,1,35,15,NA,NA,1775,0,11,0,0,0,0,0,0,1,0,0,0,0
749,4343,1,35,18,NA,NA,2099,0,4,0,1,0,0,0,0,0,0,0,0,0
795,8309,1,58,24,NA,NA,2124,0,11,0,0,0,0,0,0,1,0,0,0,0
796,9506,1,40,8,NA,NA,2167,0,3,0,0,1,0,0,0,0,0,0,0,0
798,4683,1,68,24,NA,NA,2854,0,5,0,0,0,1,0,0,0,0,0,0,0
812,1055,1,50,29,NA,NA,1635,0,4,0,1,0,0,0,0,0,0,0,0,0
