SUBJECT,HOUSEHOLD,SEX,AGE_YEAR,CONSUMPTION_DAY,sum_VITA_RAE_mcg,sum_FOLDFE_mcg,sum_IRON_mg,sum_ZINC_mg,WEEKEND,adm2_,adm2_6,adm2_3,adm2_1,adm2_2,adm2_7,adm2_4,adm2_5,adm2_8
13,5224,1,28,8,14,157,10.6,9.040000000000001,0,6,1,0,0,0,0,0,0,0
22,6638,1,32,31,56,123,6.3999999999999995,8.37,0,3,0,1,0,0,0,0,0,0
26,3569,2,35,16,155,143,7.27,6.4,0,1,0,0,1,0,0,0,0,0
45,3469,1,51,20,67,110,5.8100000000000005,7.12,0,3,0,1,0,0,0,0,0,0
77,7911,2,35,24,30,156,9.98,7.09,0,6,1,0,0,0,0,0,0,0
118,4896,2,70,9,126,170,6.62,6.89,0,2,0,0,0,1,0,0,0,0
123,1977,2,49,28,446,176,13.82,5.279999999999999,0,1,0,0,1,0,0,0,0,0
125,10033,2,20,18,3016,96,11.969999999999997,6.63,0,7,0,0,0,0,1,0,0,0
143,4597,1,35,23,88,158,6.679999999999999,5.47,0,2,0,0,0,1,0,0,0,0
153,3424,1,29,25,17,175,14.909999999999998,9.599999999999998,0,6,1,0,0,0,0,0,0,0
176,3862,1,40,25,26,136,6.38,6.53,0,2,0,0,0,1,0,0,0,0
184,7697,2,66,1,23,62,3.0999999999999996,3.7699999999999996,1,4,0,0,0,0,0,1,0,0
193,560,2,25,23,64,69,3.6100000000000003,4.74,0,3,0,1,0,0,0,0,0,0
194,5157,2,21,22,47,79,6.079999999999999,5.7299999999999995,0,1,0,0,1,0,0,0,0,0
198,6940,1,62,27,47,77,3.1200000000000006,2.71,0,7,0,0,0,0,1,0,0,0
210,2572,2,40,24,360,103,9.949999999999998,6.539999999999999,0,3,0,1,0,0,0,0,0,0
212,11693,1,38,22,250,130,13.18,12.869999999999997,0,3,0,1,0,0,0,0,0,0
220,9066,2,21,17,220,192,11.539999999999997,8.719999999999997,0,7,0,0,0,0,1,0,0,0
222,7318,2,19,13,19,85,6.64,5.13,0,5,0,0,0,0,0,0,1,0
233,7107,2,20,22,122,74,3.9299999999999997,4.8500000000000005,0,2,0,0,0,1,0,0,0,0
258,6500,2,35,16,357,77,9.17,4.39,0,1,0,0,1,0,0,0,0,0
270,11773,2,40,22,3,93,5.37,5.54,0,1,0,0,1,0,0,0,0,0
299,9723,2,36,15,139,195,7.64,9.149999999999999,0,8,0,0,0,0,0,0,0,1
303,9595,2,60,30,88,67,3.92,4.82,0,4,0,0,0,0,0,1,0,0
312,5519,2,65,27,56,31,0.8600000000000001,0.38,0,4,0,0,0,0,0,1,0,0
318,11275,1,45,29,13,89,4.329999999999999,5.97,0,4,0,0,0,0,0,1,0,0
329,7139,1,50,4,85,73,7.349999999999999,5.31,0,4,0,0,0,0,0,1,0,0
340,10359,1,67,25,15,154,8.19,7.959999999999999,0,2,0,0,0,1,0,0,0,0
350,9327,1,21,18,0,28,2.02,2.04,0,8,0,0,0,0,0,0,0,1
363,11475,1,58,3,1660,175,10.13,6.99,0,4,0,0,0,0,0,1,0,0
365,5795,2,40,29,66,132,6.03,7.510000000000001,0,5,0,0,0,0,0,0,1,0
371,8927,1,49,24,90,171,8.219999999999999,10.059999999999997,0,3,0,1,0,0,0,0,0,0
373,188,2,19,19,96,111,6.620000000000001,5.109999999999999,0,5,0,0,0,0,0,0,1,0
392,6587,2,28,26,2,57,3.23,3.96,0,4,0,0,0,0,0,1,0,0
469,10929,2,65,22,0,24,1.8200000000000003,2.8699999999999997,0,3,0,1,0,0,0,0,0,0
478,3218,1,80,21,13,47,4.03,4.21,0,2,0,0,0,1,0,0,0,0
496,10211,1,36,30,232,253,6.99,6.08,0,3,0,1,0,0,0,0,0,0
502,5976,2,23,13,108,172,12.200000000000001,6.5200000000000005,0,8,0,0,0,0,0,0,0,1
512,2135,2,50,21,3499,112,7.63,10.2,0,3,0,1,0,0,0,0,0,0
519,2680,2,27,13,87,82,3.6,3.0199999999999996,0,8,0,0,0,0,0,0,0,1
522,671,2,22,24,746,100,7.38,4.72,0,6,1,0,0,0,0,0,0,0
533,1085,2,42,24,24,135,8.269999999999998,7.680000000000001,0,8,0,0,0,0,0,0,0,1
538,1487,2,42,5,502,196,12.94,8.259999999999998,0,4,0,0,0,0,0,1,0,0
543,5433,2,26,15,247,227,14.779999999999998,14.040000000000001,0,5,0,0,0,0,0,0,1,0
555,459,1,40,14,433,279,10.009999999999998,9.44,0,1,0,0,1,0,0,0,0,0
568,8636,2,26,9,154,87,5.66,5.1000000000000005,0,5,0,0,0,0,0,0,1,0
575,3176,1,19,20,7,182,12.9,4.1499999999999995,0,8,0,0,0,0,0,0,0,1
577,5584,2,30,7,109,191,10.399999999999999,9.53,1,8,0,0,0,0,0,0,0,1
579,5606,1,30,27,121,44,2.46,2.2199999999999998,0,5,0,0,0,0,0,0,1,0
595,4440,2,36,21,58,207,12.15,5.839999999999999,0,5,0,0,0,0,0,0,1,0
612,8370,1,32,2,72,85,4.42,1.84,0,4,0,0,0,0,0,1,0,0
617,6784,2,20,15,29,44,3.61,3.769999999999999,0,6,1,0,0,0,0,0,0,0
670,5339,1,25,14,33,155,9.219999999999997,9.749999999999998,0,7,0,0,0,0,1,0,0,0
674,6515,1,31,17,26,176,6.91,9.08,0,5,0,0,0,0,0,0,1,0
695,5614,2,24,21,24,54,2.04,2.5,0,2,0,0,0,1,0,0,0,0
697,3270,1,50,18,56,207,8.23,8.829999999999998,0,5,0,0,0,0,0,0,1,0
760,11654,2,49,23,5,37,1.8800000000000001,2.36,0,6,1,0,0,0,0,0,0,0
815,1988,1,42,13,181,160,8.25,10.000000000000002,0,5,0,0,0,0,0,0,1,0
829,7091,2,30,5,11,139,5.699999999999999,6.3100000000000005,0,4,0,0,0,0,0,1,0,0
832,9450,1,30,9,597,419,6.960000000000001,6.640000000000001,0,5,0,0,0,0,0,0,1,0
839,5926,1,59,23,164,255,11.04,7.319999999999999,0,2,0,0,0,1,0,0,0,0
843,8778,2,35,29,183,69,3.27,3.66,0,2,0,0,0,1,0,0,0,0
848,7545,2,32,26,22,61,3.4000000000000004,2.8799999999999994,0,7,0,0,0,0,1,0,0,0
850,10994,1,60,31,187,146,7.409999999999999,7.04,0,2,0,0,0,1,0,0,0,0
853,1348,2,19,11,251,64,9.030000000000001,6.42,0,4,0,0,0,0,0,1,0,0
859,5530,2,29,23,1,41,2.99,2.8699999999999997,0,5,0,0,0,0,0,0,1,0
867,2696,2,18,24,3,32,1.96,3.1,0,3,0,1,0,0,0,0,0,0
873,4913,2,21,24,43,64,3.1700000000000004,2.849999999999999,0,4,0,0,0,0,0,1,0,0
881,9531,2,29,19,123,80,6.59,7.19,0,2,0,0,0,1,0,0,0,0
887,10185,2,28,18,152,80,4.23,4.46,0,1,0,0,1,0,0,0,0,0
896,5804,2,18,18,18,39,1.53,1.99,0,5,0,0,0,0,0,0,1,0
901,3108,2,37,18,218,229,11.450000000000001,10.89,0,3,0,1,0,0,0,0,0,0
908,10202,2,48,16,21,186,11.229999999999999,8.959999999999999,0,7,0,0,0,0,1,0,0,0
915,8512,2,74,13,0,9,0.67,1.14,0,8,0,0,0,0,0,0,0,1
917,6571,2,80,31,12,38,2.09,3.25,0,4,0,0,0,0,0,1,0,0
927,9541,2,20,23,464,683,8.55,6.94,0,7,0,0,0,0,1,0,0,0
995,5714,2,25,29,1562,286,19.799999999999997,15.920000000000002,0,4,0,0,0,0,0,1,0,0
1008,1059,2,29,21,85,103,4.55,5.59,0,2,0,0,0,1,0,0,0,0
1066,7220,2,45,23,269,316,7.699999999999999,7.2799999999999985,0,7,0,0,0,0,1,0,0,0
1067,2061,1,69,7,18,151,7.979999999999999,10.78,1,4,0,0,0,0,0,1,0,0
1092,2796,1,53,16,13,56,5.13,5.390000000000001,0,7,0,0,0,0,1,0,0,0
1103,9518,1,19,23,224,402,10.839999999999998,7.9399999999999995,0,2,0,0,0,1,0,0,0,0
1107,2368,2,66,6,21,54,2.9,3.6099999999999994,0,4,0,0,0,0,0,1,0,0
1120,10949,2,48,27,599,185,9.16,6.26,0,2,0,0,0,1,0,0,0,0
1150,4378,2,45,19,61,119,3.63,4.02,0,5,0,0,0,0,0,0,1,0
1160,4447,1,25,12,21,100,4.800000000000001,6.369999999999999,0,8,0,0,0,0,0,0,0,1
1175,10177,1,50,22,118,123,17.200000000000003,6.16,0,3,0,1,0,0,0,0,0,0
1186,3269,1,30,21,335,181,13.280000000000001,8.069999999999999,0,1,0,0,1,0,0,0,0,0
1194,9839,1,65,31,54,105,6.470000000000001,5.3999999999999995,0,3,0,1,0,0,0,0,0,0
1199,6480,1,22,24,130,55,2.6,2.59,0,3,0,1,0,0,0,0,0,0
1217,9236,1,22,21,42,210,10.979999999999999,7.699999999999999,0,1,0,0,1,0,0,0,0,0
1237,4913,1,24,24,146,112,7.1899999999999995,6.569999999999999,0,4,0,0,0,0,0,1,0,0
1241,10033,2,22,18,2142,296,11.81,5.949999999999999,0,7,0,0,0,0,1,0,0,0
1262,1758,2,25,2,15,130,8.109999999999998,10.729999999999997,0,4,0,0,0,0,0,1,0,0
1313,7271,2,60,18,93,119,7.18,6.769999999999999,0,1,0,0,1,0,0,0,0,0
1315,11084,2,35,23,91,121,11.96,10.16,0,2,0,0,0,1,0,0,0,0
1322,10937,2,45,27,25,151,34.959999999999994,9.97,0,6,1,0,0,0,0,0,0,0
1323,3895,1,38,27,149,208,8.12,7.6,0,5,0,0,0,0,0,0,1,0
1359,2007,1,25,20,113,200,9.27,9.36,0,7,0,0,0,0,1,0,0,0
1382,3631,1,18,23,11,163,7.73,10.3,0,7,0,0,0,0,1,0,0,0
1399,1413,2,25,22,255,219,12.349999999999998,9.36,0,8,0,0,0,0,0,0,0,1
1404,9681,1,75,16,39,117,9.149999999999999,8.18,0,7,0,0,0,0,1,0,0,0
1420,10108,1,35,24,65,101,14.64,9.719999999999999,0,3,0,1,0,0,0,0,0,0
1422,11330,2,38,24,59,198,9.239999999999998,7.18,0,3,0,1,0,0,0,0,0,0
1436,6160,2,45,16,7,90,5.31,5.119999999999998,0,1,0,0,1,0,0,0,0,0
1439,1773,1,60,21,262,114,5.589999999999999,5.46,0,3,0,1,0,0,0,0,0,0
1443,9224,2,25,10,76,140,10.520000000000001,9.229999999999999,0,1,0,0,1,0,0,0,0,0
1458,11678,1,18,8,9,76,4.8,4.41,0,4,0,0,0,0,0,1,0,0
1474,1323,1,43,30,0,48,3.73,6.19,0,4,0,0,0,0,0,1,0,0
1484,1159,1,46,20,102,53,8.959999999999999,3.44,0,3,0,1,0,0,0,0,0,0
1487,6458,2,31,29,132,115,5.789999999999999,7.409999999999998,0,1,0,0,1,0,0,0,0,0
1510,11208,1,18,25,19,151,10.83,10.52,0,2,0,0,0,1,0,0,0,0
1511,8610,2,42,10,70,74,3.81,3.25,0,1,0,0,1,0,0,0,0,0
1536,11260,1,24,27,100,99,6.719999999999999,6.809999999999999,0,3,0,1,0,0,0,0,0,0
1550,8956,1,25,25,127,155,9.679999999999996,10.739999999999998,0,2,0,0,0,1,0,0,0,0
1567,10385,1,45,10,267,171,10.399999999999999,9.02,0,1,0,0,1,0,0,0,0,0
1575,8273,2,44,13,3,104,9.729999999999997,7.449999999999999,0,8,0,0,0,0,0,0,0,1
1582,10190,2,40,20,167,162,10.12,5.899999999999999,0,3,0,1,0,0,0,0,0,0
1590,11720,2,32,11,340,224,4.529999999999999,4.23,0,5,0,0,0,0,0,0,1,0
1652,6588,1,19,25,104,139,5.529999999999999,5.129999999999999,0,2,0,0,0,1,0,0,0,0
1666,4314,2,56,26,81,129,19.58,11.149999999999997,0,1,0,0,1,0,0,0,0,0
1672,1608,2,62,25,194,153,5.77,4.17,0,2,0,0,0,1,0,0,0,0
1723,10173,1,59,4,113,124,7.41,6.2299999999999995,0,4,0,0,0,0,0,1,0,0
1735,6588,2,20,25,104,139,5.53,5.129999999999998,0,2,0,0,0,1,0,0,0,0
1736,1262,2,47,16,91,134,10.459999999999999,10.16,0,7,0,0,0,0,1,0,0,0
1741,3196,1,36,7,37,83,5.63,7.1,1,5,0,0,0,0,0,0,1,0
1743,2845,2,40,19,239,223,10,10.11,0,2,0,0,0,1,0,0,0,0
1745,8537,1,42,20,13,75,4.480000000000001,5.74,0,8,0,0,0,0,0,0,0,1
1758,7669,2,30,25,10,61,2.22,1.5300000000000002,0,7,0,0,0,0,1,0,0,0
1774,9200,2,50,20,121,159,18.549999999999997,9.479999999999999,0,3,0,1,0,0,0,0,0,0
1781,6759,1,35,24,165,415,30.080000000000002,19.57,0,6,1,0,0,0,0,0,0,0
1785,9373,1,20,27,3,70,6.24,4.5,0,6,1,0,0,0,0,0,0,0
1812,8287,1,60,19,119,83,7.92,5.390000000000001,0,3,0,1,0,0,0,0,0,0
1860,9914,2,35,18,11,35,3.3299999999999996,3.5599999999999996,0,7,0,0,0,0,1,0,0,0
1898,11813,2,42,16,185,84,4.42,4.779999999999999,0,1,0,0,1,0,0,0,0,0
1901,11534,2,65,14,188,195,7.079999999999999,5.8,0,7,0,0,0,0,1,0,0,0
1909,5339,1,62,14,35,147,8.799999999999999,8.549999999999999,0,7,0,0,0,0,1,0,0,0
1917,3625,2,35,16,125,72,4.25,3.84,0,3,0,1,0,0,0,0,0,0
1952,4425,2,25,12,7,138,7.61,8.229999999999999,0,6,1,0,0,0,0,0,0,0
1955,6062,2,40,13,274,229,9.49,9.159999999999998,0,8,0,0,0,0,0,0,0,1
1974,7505,2,49,26,54,168,12.649999999999997,9.939999999999996,0,1,0,0,1,0,0,0,0,0
2031,1947,1,20,8,171,116,8.11,7.679999999999999,0,6,1,0,0,0,0,0,0,0
2047,3446,1,33,12,20,205,19.82,12.969999999999999,0,6,1,0,0,0,0,0,0,0
2063,10903,2,20,30,169,202,6.129999999999999,5.369999999999999,0,4,0,0,0,0,0,1,0,0
2065,8652,1,26,24,14,112,7.9799999999999995,7.55,0,3,0,1,0,0,0,0,0,0
2066,11314,1,25,24,79,109,7.93,9.31,0,1,0,0,1,0,0,0,0,0
2068,11532,1,24,27,50,191,10.35,10.129999999999999,0,2,0,0,0,1,0,0,0,0
2080,8242,2,39,23,0,54,4.03,6.53,0,1,0,0,1,0,0,0,0,0
2100,4907,1,60,10,106,96,5.75,6.819999999999999,0,1,0,0,1,0,0,0,0,0
2109,11264,1,23,18,132,121,6.359999999999999,6.359999999999999,0,7,0,0,0,0,1,0,0,0
2121,9262,2,22,30,3,62,3.8499999999999996,5.519999999999999,0,4,0,0,0,0,0,1,0,0
2149,6744,1,33,26,278,201,13.049999999999997,11.250000000000002,0,3,0,1,0,0,0,0,0,0
2163,4401,2,38,16,182,141,7.6,6.75,0,1,0,0,1,0,0,0,0,0
2165,3888,2,19,25,112,86,4.970000000000001,5.3599999999999985,0,3,0,1,0,0,0,0,0,0
2174,9850,1,40,26,44,36,2.09,2.81,0,6,1,0,0,0,0,0,0,0
2177,8512,2,59,13,18,25,2.0300000000000002,1.49,0,8,0,0,0,0,0,0,0,1
