SUBJECT,HOUSEHOLD,SEX,AGE_YEAR,CONSUMPTION_DAY,sum_VITA_RAE_mcg,sum_FOLDFE_mcg,sum_IRON_mg,sum_ZINC_mg,sum_VITB12_mcg,WEEKEND,adm2_,adm2_9,adm2_11,adm2_10,adm2_4,adm2_5,adm2_3,adm2_7,adm2_8,adm2_12,adm2_6,adm2_2,adm2_1
28,2867,1,62,8,113,373,27.900000000000002,17.740000000000002,1.0602,0,9,1,0,0,0,0,0,0,0,0,0,0,0
67,5686,1,65,27,140,155,13.969999999999999,7.419999999999999,1.5196,0,11,0,1,0,0,0,0,0,0,0,0,0,0
81,4580,1,25,29,52,216,20.23,13.740000000000002,0.234,0,10,0,0,1,0,0,0,0,0,0,0,0,0
83,7836,1,29.1,20,33,148,10.23,8.429999999999998,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0
89,1897,1,59,18,91,163,17.65,10.529999999999998,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0
175,2793,1,50,11,88,513,29.23,16.8,0.4824,0,5,0,0,0,0,1,0,0,0,0,0,0,0
187,3492,1,18,29,77,171,10.32,6.309999999999999,2.6433,0,10,0,0,1,0,0,0,0,0,0,0,0,0
217,11124,1,55,28,63,127,5.91,6.32,0.8987,0,10,0,0,1,0,0,0,0,0,0,0,0,0
323,368,1,27,28,366,612,42.02,24.13,0.4977,0,11,0,1,0,0,0,0,0,0,0,0,0,0
341,6142,1,40,8,101,114,7.539999999999999,5.749999999999999,0.207,0,11,0,1,0,0,0,0,0,0,0,0,0,0
366,579,1,24,29,102,208,19.640000000000004,16.400000000000006,4.827,0,3,0,0,0,0,0,1,0,0,0,0,0,0
374,1558,1,45,18,305,140,14.040000000000003,7.17,0.63,0,5,0,0,0,0,1,0,0,0,0,0,0,0
377,7625,1,60,18,59,305,26.209999999999997,15.469999999999999,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0
380,3389,1,35,13,97,344,17.58,10.959999999999999,0.7488000000000001,0,9,1,0,0,0,0,0,0,0,0,0,0,0
403,6622,1,23,13,411,76,6.1099999999999985,3.65,0.3186,0,7,0,0,0,0,0,0,1,0,0,0,0,0
419,11274,1,21,13,607,93,8.040000000000001,3.0599999999999996,2.3229,0,7,0,0,0,0,0,0,1,0,0,0,0,0
420,10058,1,60,9,556,222,19.03,9.45,0.9154,0,8,0,0,0,0,0,0,0,1,0,0,0,0
433,10608,1,54,22,289,275,18.560000000000002,12.19,3.2770000000000006,0,9,1,0,0,0,0,0,0,0,0,0,0,0
449,3230,1,60,18,107,132,6.77,6.379999999999999,0.405,0,5,0,0,0,0,1,0,0,0,0,0,0,0
458,577,1,80,11,32,207,16.35,7.9799999999999995,1.5282,0,5,0,0,0,0,1,0,0,0,0,0,0,0
482,8007,1,65,4,122,233,18.8,15.69,0.6030000000000001,0,7,0,0,0,0,0,0,1,0,0,0,0,0
510,10671,1,23,21,27,200,15.609999999999998,14.51,2.727,0,12,0,0,0,0,0,0,0,0,1,0,0,0
531,563,1,65,28,218,195,18.599999999999998,9.709999999999999,1.3293000000000001,0,3,0,0,0,0,0,1,0,0,0,0,0,0
544,4734,1,44,11,7,168,12.909999999999998,7.34,0.5271,0,9,1,0,0,0,0,0,0,0,0,0,0,0
553,11428,1,45,17,3,111,12.079999999999998,7.749999999999999,2.1744000000000003,0,5,0,0,0,0,1,0,0,0,0,0,0,0
587,1110,1,32,28,98,214,15.62,9.959999999999997,0.117,0,3,0,0,0,0,0,1,0,0,0,0,0,0
613,8053,1,45,28,125,101,5.680000000000001,4.1099999999999985,0.531,0,7,0,0,0,0,0,0,1,0,0,0,0,0
637,4792,1,45,14,25,61,6.25,4.08,1.4004,0,4,0,0,0,1,0,0,0,0,0,0,0,0
638,7617,1,50,18,206,160,15.150000000000002,8.14,0.17550000000000002,0,4,0,0,0,1,0,0,0,0,0,0,0,0
654,9619,1,66,16,64,213,21.85,9.959999999999999,0,0,6,0,0,0,0,0,0,0,0,0,1,0,0
660,4857,1,42,11,15,42,2.7199999999999998,2.8899999999999997,0.3204,0,4,0,0,0,1,0,0,0,0,0,0,0,0
681,7124,1,22,18,46,176,16.179999999999996,10.929999999999998,0.315,0,6,0,0,0,0,0,0,0,0,0,1,0,0
689,8383,1,38,6,475,520,30.830000000000002,22.940000000000005,0.7587,0,9,1,0,0,0,0,0,0,0,0,0,0,0
751,5990,1,29,21,90,225,22.550000000000004,13.89,0.3546,0,12,0,0,0,0,0,0,0,0,1,0,0,0
754,9097,1,27,26,260,117,4.92,4.639999999999999,0.594,0,7,0,0,0,0,0,0,1,0,0,0,0,0
773,7225,1,43,18,486,172,14.14,6.33,1.0979999999999999,0,5,0,0,0,0,1,0,0,0,0,0,0,0
787,4520,1,40,13,55,351,19.74,9.68,0.2916,0,6,0,0,0,0,0,0,0,0,0,1,0,0
849,1656,1,50,20,103,172,13.230000000000002,8.329999999999998,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0
857,11062,1,21,22,1077,292,22.869999999999997,12.419999999999998,0.2916,0,11,0,1,0,0,0,0,0,0,0,0,0,0
868,2480,1,70,22,39,138,24.43,6.719999999999998,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0
875,5623,1,42,11,29,175,19.36,12.99,0.3168,0,5,0,0,0,0,1,0,0,0,0,0,0,0
920,4794,1,39,17,24,107,5.599999999999999,4.56,0.504,0,5,0,0,0,0,1,0,0,0,0,0,0,0
946,9034,1,18,21,70,77,7.069999999999999,4.97,0,0,6,0,0,0,0,0,0,0,0,0,1,0,0
953,6622,1,26,13,287,60,5.25,3.3899999999999997,0.3186,0,7,0,0,0,0,0,0,1,0,0,0,0,0
972,8576,1,58,15,634,250,11.55,8.14,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0
975,8337,1,53,19,50,321,20.849999999999998,12.19,0.6957,0,2,0,0,0,0,0,0,0,0,0,0,1,0
1072,7134,1,38,6,95,252,10.620000000000001,9.1,0.622,0,11,0,1,0,0,0,0,0,0,0,0,0,0
1083,10948,1,70,21,72,38,3.27,1.4500000000000002,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0
1090,6059,1,75,16,50,224,14.319999999999999,9.379999999999999,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0
1094,1999,1,51,29,85,98,5.080000000000001,4.830000000000001,1.3311000000000002,0,10,0,0,1,0,0,0,0,0,0,0,0,0
1140,4460,1,39,18,52,226,8.85,7.3999999999999995,0,0,7,0,0,0,0,0,0,1,0,0,0,0,0
1142,4583,1,32,21,45,171,8.079999999999998,6.289999999999999,0.9504,0,10,0,0,1,0,0,0,0,0,0,0,0,0
1234,10372,1,25,24,47,221,10.710000000000004,6.609999999999999,2.9640000000000004,0,12,0,0,0,0,0,0,0,0,1,0,0,0
1296,3151,1,35,18,374,206,21.270000000000007,11.38,0.889,0,8,0,0,0,0,0,0,0,1,0,0,0,0
1371,8948,1,60,14,33,162,9.979999999999997,7.389999999999999,3.9383999999999997,0,8,0,0,0,0,0,0,0,1,0,0,0,0
1385,6736,1,25,26,11,205,7.62,6.359999999999999,7.362199999999999,0,12,0,0,0,0,0,0,0,0,1,0,0,0
1400,4906,1,38,20,56,293,29.06,17.939999999999998,0.522,0,1,0,0,0,0,0,0,0,0,0,0,0,1
