SUBJECT,HOUSEHOLD,SEX,AGE_YEAR,CONSUMPTION_DAY,sum_VITA_RAE_mcg,sum_FOLDFE_mcg,sum_IRON_mg,sum_ZINC_mg,sum_VITB12_mcg,WEEKEND,adm2_,adm2_5,adm2_1,adm2_6,adm2_12,adm2_4,adm2_9,adm2_10,adm2_11,adm2_2,adm2_3,adm2_7,adm2_8
25,2167,2,29,11,67,210,18.96,11.620000000000001,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0
31,10739,2,60,20,48,123,6.04,6.5200000000000005,1.8,0,1,0,1,0,0,0,0,0,0,0,0,0,0
122,2465,2,45,16,155,228,13.609999999999998,8.69,0.7915999999999999,0,6,0,0,1,0,0,0,0,0,0,0,0,0
124,3244,2,50,15,26,79,4.6499999999999995,4.989999999999999,0,0,12,0,0,0,1,0,0,0,0,0,0,0,0
144,3564,2,26,24,21,67,6.45,3.69,0,0,12,0,0,0,1,0,0,0,0,0,0,0,0
161,9162,2,56,17,102,93,9.4,6.9399999999999995,0.63,0,5,1,0,0,0,0,0,0,0,0,0,0,0
207,4038,2,39,30,1098,370,38.70000000000001,13.529999999999998,2.124,0,5,1,0,0,0,0,0,0,0,0,0,0,0
229,4567,2,60,16,182,200,10.800000000000002,7.579999999999999,0,0,6,0,0,1,0,0,0,0,0,0,0,0,0
238,7716,2,21,15,61,180,12.680000000000001,9.789999999999997,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0
260,1335,2,21,17,1233,157,11.33,7.0699999999999985,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0
266,95,2,72,24,37,119,9.07,5.889999999999999,0,0,12,0,0,0,1,0,0,0,0,0,0,0,0
290,2867,2,54,8,70,217,15.169999999999998,9.909999999999998,1.0602,0,9,0,0,0,0,0,1,0,0,0,0,0,0
294,5134,2,18,14,52,161,17.770000000000003,9.780000000000001,0,0,10,0,0,0,0,0,0,1,0,0,0,0,0
301,3258,2,20,26,74,93,4.41,4.94,0.2304,0,10,0,0,0,0,0,0,1,0,0,0,0,0
311,7294,2,70,21,501,112,7.950000000000002,5.9799999999999995,0.738,0,4,0,0,0,0,1,0,0,0,0,0,0,0
387,9172,2,38,28,40,1213,11.600000000000001,8.34,10.93815,0,12,0,0,0,1,0,0,0,0,0,0,0,0
439,7197,2,28,21,70,152,7.78,7.56,0.477,0,10,0,0,0,0,0,0,1,0,0,0,0,0
560,7737,2,48,22,803,499,28.209999999999997,16.47,0.8504999999999999,0,11,0,0,0,0,0,0,0,1,0,0,0,0
588,4671,2,63,13,60,234,10.469999999999999,6.94,0.8504999999999999,0,6,0,0,1,0,0,0,0,0,0,0,0,0
644,1134,2,70,6,877,178,15.34,10.239999999999997,0.387,0,11,0,0,0,0,0,0,0,1,0,0,0,0
649,3755,2,44,18,81,200,14.02,9.679999999999998,0.35009999999999997,0,10,0,0,0,0,0,0,1,0,0,0,0,0
675,6717,2,66,12,69,190,23.870000000000005,10.73,0,0,10,0,0,0,0,0,0,1,0,0,0,0,0
688,11273,2,48,20,45,128,12.379999999999997,7.879999999999997,0.2529,0,4,0,0,0,0,1,0,0,0,0,0,0,0
692,1843,2,28,15,131,229,18.599999999999998,8.689999999999998,3.0410999999999997,0,2,0,0,0,0,0,0,0,0,1,0,0,0
698,3039,2,26,24,136,204,18.290000000000003,14.14,1.4229,0,11,0,0,0,0,0,0,0,1,0,0,0,0
704,2335,2,18,6,257,143,9.739999999999997,6.549999999999998,0.4374,0,9,0,0,0,0,0,1,0,0,0,0,0,0
715,2832,2,79,27,68,145,12.620000000000001,7.67,0.37800000000000006,0,3,0,0,0,0,0,0,0,0,0,1,0,0
789,11381,2,36,18,150,1160,13.019999999999996,6.129999999999999,20.62055,0,12,0,0,0,1,0,0,0,0,0,0,0,0
809,1115,2,28,25,380,162,26.119999999999997,6.419999999999999,0.468,0,9,0,0,0,0,0,1,0,0,0,0,0,0
838,10123,2,35,18,42,152,10.19,7.31,0.2394,0,6,0,0,1,0,0,0,0,0,0,0,0,0
842,10105,2,46,16,261,210,12.639999999999999,8.389999999999999,2.418,0,6,0,0,1,0,0,0,0,0,0,0,0,0
894,150,2,24,14,47,180,22.61,11.5,0.114,0,10,0,0,0,0,0,0,1,0,0,0,0,0
904,4906,2,22,20,55,212,21.45,12.639999999999997,0.531,0,1,0,1,0,0,0,0,0,0,0,0,0,0
918,11215,2,23,27,76,257,19.369999999999997,13.11,0.3033,0,10,0,0,0,0,0,0,1,0,0,0,0,0
922,8038,2,34,26,40,1213,7.46,5.92,11.65095,0,12,0,0,0,1,0,0,0,0,0,0,0,0
986,8279,2,21,16,37,305,21.220000000000002,13.37,0.423,0,4,0,0,0,0,1,0,0,0,0,0,0,0
990,9093,2,52,2,157,310,16.18,10.319999999999999,0.54,0,6,0,0,1,0,0,0,0,0,0,0,0,0
1019,5850,2,22,23,106,245,11.200000000000003,8.919999999999998,0.396,0,9,0,0,0,0,0,1,0,0,0,0,0,0
1043,3487,2,27,6,32,174,7.979999999999999,5.359999999999999,0.5670000000000001,0,11,0,0,0,0,0,0,0,1,0,0,0,0
1073,2597,2,49,10,90,156,9.379999999999999,7.380000000000001,0.495,0,11,0,0,0,0,0,0,0,1,0,0,0,0
1112,6769,2,28,21,942,184,14.319999999999999,7.1499999999999995,1.1746,0,6,0,0,1,0,0,0,0,0,0,0,0,0
1125,5061,2,27,26,82,221,7.24,7.909999999999997,1.8,0,11,0,0,0,0,0,0,0,1,0,0,0,0
1127,5577,2,30,17,42,220,10.5,6.55,0.5958000000000001,0,5,1,0,0,0,0,0,0,0,0,0,0,0
1135,2065,2,22,21,189,169,7.4,6.89,0.468,0,11,0,0,0,0,0,0,0,1,0,0,0,0
1146,446,2,55,20,513,391,20.400000000000002,13.559999999999999,0,0,7,0,0,0,0,0,0,0,0,0,0,1,0
1156,7628,2,23,24,1214,233,12.180000000000001,5.29,2.3760000000000003,0,12,0,0,0,1,0,0,0,0,0,0,0,0
1169,6738,2,51,13,11,165,19.97,13.719999999999999,1.2186000000000001,0,5,1,0,0,0,0,0,0,0,0,0,0,0
1180,7974,2,32,27,44,153,19.67,10.339999999999998,0,0,10,0,0,0,0,0,0,1,0,0,0,0,0
1231,7450,2,35,17,29,44,3.4999999999999996,2.3899999999999997,0.125,0,2,0,0,0,0,0,0,0,0,1,0,0,0
1251,816,2,22,27,110,89,6.04,4.4,0.698,0,3,0,0,0,0,0,0,0,0,0,1,0,0
1257,4662,2,41,22,114,132,6.930000000000001,5.37,0.945,0,9,0,0,0,0,0,1,0,0,0,0,0,0
1266,7299,2,40,15,99,165,11.500000000000004,8.42,0.48780000000000007,0,2,0,0,0,0,0,0,0,0,1,0,0,0
1300,8904,2,72,19,37,41,4.079999999999999,2.8399999999999994,0.234,0,2,0,0,0,0,0,0,0,0,1,0,0,0
1316,9438,2,47,30,130,156,11.49,9.29,1.8,0,7,0,0,0,0,0,0,0,0,0,0,1,0
1338,5366,2,42,19,64,139,7.299999999999999,6.9300000000000015,0.8496000000000001,0,5,1,0,0,0,0,0,0,0,0,0,0,0
1369,3048,2,28,10,149,199,9.379999999999999,8.859999999999998,0.369,0,9,0,0,0,0,0,1,0,0,0,0,0,0
1421,4166,2,51,16,86,152,10.969999999999999,8.799999999999997,2.9979,0,12,0,0,0,1,0,0,0,0,0,0,0,0
1425,1113,2,42,4,174,206,14.349999999999998,9.26,1.395,0,7,0,0,0,0,0,0,0,0,0,0,1,0
1431,8122,2,62,14,511,396,8.729999999999999,6.01,0.3627,0,7,0,0,0,0,0,0,0,0,0,0,1,0
1475,3842,2,30,16,82,128,12.47,9.199999999999998,0,0,8,0,0,0,0,0,0,0,0,0,0,0,1
1483,8295,2,45,24,145,126,9.610000000000001,6.8999999999999995,0.28800000000000003,0,9,0,0,0,0,0,1,0,0,0,0,0,0
1499,5524,2,75,16,117,113,10.59,6.819999999999999,1.243,0,8,0,0,0,0,0,0,0,0,0,0,0,1
1500,7654,2,37,10,53,128,14.03,6.659999999999999,18,0,12,0,0,0,1,0,0,0,0,0,0,0,0
1515,6551,2,35,2,107,130,7.62,5.8999999999999995,0.441,0,7,0,0,0,0,0,0,0,0,0,0,1,0
1525,3263,2,28,5,106,187,17.169999999999998,10.479999999999999,1.1952,0,1,0,1,0,0,0,0,0,0,0,0,0,0
1556,4996,2,40,18,69,159,8.74,4.960000000000001,1.2024,0,10,0,0,0,0,0,0,1,0,0,0,0,0
1576,3533,2,19,21,65,156,8.67,5.300000000000001,0.37440000000000007,0,6,0,0,1,0,0,0,0,0,0,0,0,0
1578,7328,2,23,15,177,350,24.169999999999998,12.219999999999999,0.5148,0,3,0,0,0,0,0,0,0,0,0,1,0,0
1592,604,2,76,29,56,157,10.799999999999997,7.059999999999999,0.36,0,3,0,0,0,0,0,0,0,0,0,1,0,0
1630,9855,2,23,22,193,297,21.21,14.369999999999997,0.945,0,11,0,0,0,0,0,0,0,1,0,0,0,0
1635,1985,2,65,8,56,162,12.680000000000001,7.429999999999999,0.297,0,11,0,0,0,0,0,0,0,1,0,0,0,0
1686,9853,2,58,11,179,243,16.62,10.64,1.5615,0,8,0,0,0,0,0,0,0,0,0,0,0,1
1699,8435,2,47,20,292,133,11.690000000000001,7.35,0.8496000000000001,0,6,0,0,1,0,0,0,0,0,0,0,0,0
1746,72,2,40,15,36,82,5.429999999999999,5.829999999999999,0,0,12,0,0,0,1,0,0,0,0,0,0,0,0
1750,7829,2,56,21,39,241,14.669999999999998,9.629999999999999,0.1611,0,4,0,0,0,0,1,0,0,0,0,0,0,0
1776,3264,2,18,16,85,317,26.900000000000002,15.330000000000002,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0
1779,10289,2,60,26,10,392,17.89,9.389999999999999,16.6148,0,12,0,0,0,1,0,0,0,0,0,0,0,0
1816,9447,2,30,25,40,195,26.54,13.780000000000001,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0
1826,6572,2,45,11,31,203,9.76,5.5600000000000005,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0
1832,11154,2,25,28,68,222,17.839999999999996,8.959999999999999,0.28800000000000003,0,3,0,0,0,0,0,0,0,0,0,1,0,0
1875,9628,2,38,14,483,166,13.199999999999998,8.649999999999999,0,0,9,0,0,0,0,0,1,0,0,0,0,0,0
1876,6972,2,38,21,240,119,9.32,7.339999999999999,0.3222,0,10,0,0,0,0,0,0,1,0,0,0,0,0
1888,7098,2,48,22,120,273,17.63,10.420000000000002,0.802,0,10,0,0,0,0,0,0,1,0,0,0,0,0
1892,10395,2,48,14,30,197,12.36,6.22,0.945,0,8,0,0,0,0,0,0,0,0,0,0,0,1
1899,10594,2,45,28,33,170,14.049999999999999,8.03,0.234,0,3,0,0,0,0,0,0,0,0,0,1,0,0
1907,9524,2,65,14,34,199,19.91,12.119999999999997,0.6048,0,9,0,0,0,0,0,1,0,0,0,0,0,0
1958,9060,2,45,17,126,146,7.06,5.17,1.506,0,2,0,0,0,0,0,0,0,0,1,0,0,0
1978,8571,2,35,17,1034,855,20.009999999999998,10.049999999999999,0,0,7,0,0,0,0,0,0,0,0,0,0,1,0
1981,1781,2,46,29,64,141,10.91,6.35,0.13,0,3,0,0,0,0,0,0,0,0,0,1,0,0
1988,10300,2,25,17,36,169,19.58,10.489999999999998,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0
2006,7134,2,30,6,79,164,6.17,5.12,0.622,0,11,0,0,0,0,0,0,0,1,0,0,0,0
2054,2877,2,23,18,91,60,2.44,1.9200000000000002,0.3069,0,10,0,0,0,0,0,0,1,0,0,0,0,0
2150,10604,2,30,15,76,173,16.780000000000005,8.689999999999998,0.207,0,2,0,0,0,0,0,0,0,0,1,0,0,0
2159,9857,2,35,23,21,222,17.480000000000004,9.74,0.243,0,9,0,0,0,0,0,1,0,0,0,0,0,0
2197,1683,2,55,8,32,143,9.959999999999999,6.43,0.297,0,11,0,0,0,0,0,0,0,1,0,0,0,0
2222,6336,2,40,23,64,146,13.07,10.030000000000001,0.37800000000000006,0,9,0,0,0,0,0,1,0,0,0,0,0,0
2238,5341,2,28,15,153,295,21.04,11.68,0.8334000000000001,0,6,0,0,1,0,0,0,0,0,0,0,0,0
2256,5386,2,18,20,83,116,3.65,3.72,0.45,0,5,1,0,0,0,0,0,0,0,0,0,0,0
2310,1662,2,25,28,632,153,14.209999999999999,8.389999999999999,1.4254,0,11,0,0,0,0,0,0,0,1,0,0,0,0
2346,9847,2,65,20,109,258,19.37,10.48,0.7253999999999999,0,10,0,0,0,0,0,0,1,0,0,0,0,0
2374,7006,2,68,16,127,160,9.679999999999998,7.499999999999999,0.234,0,8,0,0,0,0,0,0,0,0,0,0,0,1
2387,5831,2,32,9,29,90,7.7,5.419999999999999,0,0,8,0,0,0,0,0,0,0,0,0,0,0,1
2430,155,2,19,25,72,153,18.209999999999997,10.429999999999998,0.297,0,4,0,0,0,0,1,0,0,0,0,0,0,0
2470,3268,2,55,24,112,114,7.630000000000002,6.309999999999999,0,0,9,0,0,0,0,0,1,0,0,0,0,0,0
2477,1161,2,60,12,87,255,29.789999999999992,18.13,0.7013999999999999,0,9,0,0,0,0,0,1,0,0,0,0,0,0
2488,11664,2,42,18,191,194,14.510000000000002,9.739999999999997,0.325,0,8,0,0,0,0,0,0,0,0,0,0,0,1
2531,5727,2,26,11,32,134,10.489999999999998,9.12,6,0,12,0,0,0,1,0,0,0,0,0,0,0,0
2536,5036,2,25,8,46,148,13.82,7.989999999999999,2.2734,0,7,0,0,0,0,0,0,0,0,0,0,1,0
2553,845,2,27,17,96,137,12.090000000000002,7.189999999999998,0.585,0,2,0,0,0,0,0,0,0,0,1,0,0,0
2587,3977,2,38,22,27,70,10.909999999999998,4.7299999999999995,0.37800000000000006,0,12,0,0,0,1,0,0,0,0,0,0,0,0
2589,6475,2,33,25,249,209,10.469999999999997,6.25,0.1917,0,9,0,0,0,0,0,1,0,0,0,0,0,0
2595,8007,2,55,4,99,151,10.920000000000002,9.44,0.6030000000000001,0,7,0,0,0,0,0,0,0,0,0,0,1,0
2597,5232,2,37,29,108,130,11.209999999999999,5.590000000000001,1.4329999999999998,0,3,0,0,0,0,0,0,0,0,0,1,0,0
2610,7252,2,55,4,161,102,5.479999999999999,4.949999999999999,0.37800000000000006,0,7,0,0,0,0,0,0,0,0,0,0,1,0
2624,3820,2,30,6,389,194,16.919999999999998,10.299999999999999,0,0,7,0,0,0,0,0,0,0,0,0,0,1,0
2629,8337,2,20,19,65,433,26.24,15.13,0.6957,0,2,0,0,0,0,0,0,0,0,1,0,0,0
2641,5200,2,28,4,77,128,9.49,6.319999999999999,0.0506,0,3,0,0,0,0,0,0,0,0,0,1,0,0
2673,8298,2,29,22,885,173,12.43,6.720000000000001,0,0,12,0,0,0,1,0,0,0,0,0,0,0,0
2717,10881,2,18,4,22,54,9.65,4.569999999999999,0.8055,0,3,0,0,0,0,0,0,0,0,0,1,0,0
2731,7570,2,25,18,35,335,29.929999999999996,16.5,0.945,0,4,0,0,0,0,1,0,0,0,0,0,0,0
2740,10126,2,30,19,102,224,18.470000000000002,11.699999999999998,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0
2829,2510,2,40,22,47,102,8.53,8.929999999999998,2.313,0,12,0,0,0,1,0,0,0,0,0,0,0,0
2837,11521,2,25,20,117,89,4.34,4.189999999999999,0,0,11,0,0,0,0,0,0,0,1,0,0,0,0
2858,10589,2,27,15,162,276,9.03,8.52,0.477,0,12,0,0,0,1,0,0,0,0,0,0,0,0
