SUBJECT,HOUSEHOLD,SEX,AGE_YEAR,CONSUMPTION_DAY,sum_VITA_RAE_mcg,sum_FOLDFE_mcg,sum_IRON_mg,sum_ZINC_mg,WEEKEND,adm2_,adm2_4,adm2_3,adm2_8,adm2_11,adm2_7,adm2_6,adm2_2,adm2_1,adm2_10,adm2_9,adm2_5
24,6371,2,47,25,197,3615,11.509999999999998,8.229999999999999,0,4,1,0,0,0,0,0,0,0,0,0,0
56,626,1,53,14,12,33,7.22,3.14,0,3,0,1,0,0,0,0,0,0,0,0,0
61,1708,2,75,14,67,138,10.379999999999999,7.459999999999999,0,3,0,1,0,0,0,0,0,0,0,0,0
66,2639,1,39,18,72,1180,10.68,6.110000000000001,0,8,0,0,1,0,0,0,0,0,0,0,0
154,6637,1,70,15,61,3607,8.52,6.340000000000001,0,11,0,0,0,1,0,0,0,0,0,0,0
155,3557,2,68,16,53,1767,11.36,7.209999999999997,0,7,0,0,0,0,1,0,0,0,0,0,0
167,9860,2,34,24,222,163,9.51,5.289999999999999,0,7,0,0,0,0,1,0,0,0,0,0,0
170,4552,2,31,5,161,200,8.820000000000002,5.929999999999999,0,6,0,0,0,0,0,1,0,0,0,0,0
171,9523,2,37,24,64,712,10.9,8.729999999999997,0,4,1,0,0,0,0,0,0,0,0,0,0
235,456,2,34,28,38,366,11.940000000000001,6.84,0,2,0,0,0,0,0,0,1,0,0,0,0
237,2805,2,22,26,50,924,6.41,4.58,0,1,0,0,0,0,0,0,0,1,0,0,0
252,6171,1,50,4,51,1670,14.17,8.39,0,6,0,0,0,0,0,1,0,0,0,0,0
291,882,1,35,18,33,1157,2.76,2.3400000000000003,0,8,0,0,1,0,0,0,0,0,0,0,0
296,6722,1,30,22,24,1056,5.379999999999999,3.959999999999999,0,8,0,0,1,0,0,0,0,0,0,0,0
305,1121,2,48,11,22,1141,4.8500000000000005,3.45,0,10,0,0,0,0,0,0,0,0,1,0,0
321,2072,1,51,20,90,3215,7.93,6.289999999999999,0,9,0,0,0,0,0,0,0,0,0,1,0
336,5483,2,49,22,52,57,6.6499999999999995,3.0499999999999994,0,7,0,0,0,0,1,0,0,0,0,0,0
351,5294,1,45,19,57,1290,17.359999999999996,11.049999999999997,0,2,0,0,0,0,0,0,1,0,0,0,0
394,2180,1,32,16,267,901,8.959999999999999,6.14,0,4,1,0,0,0,0,0,0,0,0,0,0
423,8382,1,33,19,33,899,12.08,3.9400000000000004,0,11,0,0,0,1,0,0,0,0,0,0,0
434,309,2,50,17,32,2720,8.79,9.439999999999998,0,5,0,0,0,0,0,0,0,0,0,0,1
441,9026,1,63,14,104,205,7.540000000000001,6.719999999999999,0,4,1,0,0,0,0,0,0,0,0,0,0
461,9950,2,63,23,68,4550,11.099999999999998,9.209999999999997,0,8,0,0,1,0,0,0,0,0,0,0,0
490,11321,2,36,22,20,533,6.12,5.099999999999998,0,6,0,0,0,0,0,1,0,0,0,0,0
491,8783,2,49,13,78,3305,6.14,5.319999999999999,0,1,0,0,0,0,0,0,0,1,0,0,0
498,7219,1,69,21,12,944,3.8899999999999997,2.94,0,1,0,0,0,0,0,0,0,1,0,0,0
542,10278,1,55,11,32,2667,8.1,6.289999999999999,0,10,0,0,0,0,0,0,0,0,1,0,0
547,8118,2,36,22,7,36,4.849999999999999,2.59,0,9,0,0,0,0,0,0,0,0,0,1,0
550,3702,2,35,10,43,51,2.8200000000000003,1.7799999999999998,0,9,0,0,0,0,0,0,0,0,0,1,0
562,1649,1,23,20,43,2446,9.98,6.709999999999999,0,1,0,0,0,0,0,0,0,1,0,0,0
564,5604,1,51,14,37,872,10.59,7.520000000000001,0,3,0,1,0,0,0,0,0,0,0,0,0
596,7965,1,32,16,46,5851,9.82,10.139999999999999,0,3,0,1,0,0,0,0,0,0,0,0,0
624,5098,1,80,15,59,1365,16.610000000000003,11.429999999999998,0,1,0,0,0,0,0,0,0,1,0,0,0
669,11525,2,36,18,92,557,9.61,3.9999999999999996,0,7,0,0,0,0,1,0,0,0,0,0,0
682,6876,2,61,20,50,4185,9.37,7.03,0,2,0,0,0,0,0,0,1,0,0,0,0
755,7999,2,25,18,59,174,13.139999999999999,11.01,0,4,1,0,0,0,0,0,0,0,0,0,0
779,660,2,28,23,213,136,18.93,8.29,0,8,0,0,1,0,0,0,0,0,0,0,0
790,6971,1,25,19,370,132,7.13,5.489999999999999,0,11,0,0,0,1,0,0,0,0,0,0,0
804,4393,1,20,5,49,516,14.969999999999995,6.919999999999998,0,6,0,0,0,0,0,1,0,0,0,0,0
