SUBJECT,HOUSEHOLD,SEX,AGE_YEAR,CONSUMPTION_DAY,sum_VITA_RAE_mcg,sum_FOLDFE_mcg,sum_IRON_mg,sum_ZINC_mg,WEEKEND,adm2_,adm2_9,adm2_4,adm2_14,adm2_15,adm2_11,adm2_10,adm2_12,adm2_2,adm2_7,adm2_1,adm2_3,adm2_8,adm2_13,adm2_5,adm2_6
7,534,2,40,25,58,137,12.69,8.05,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,10798,1,23,14,694,268,9.37,8.199999999999998,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
34,11252,2,33,17,55,93,7.9399999999999995,5.55,0,14,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
71,1857,2,65,8,42,63,4.930000000000001,2.8000000000000003,0,15,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
88,2851,1,31,10,30,109,7.409999999999999,6.099999999999998,0,11,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
99,702,1,40,17,153,245,10.58,7.36,0,10,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
112,10798,1,18,14,544,255,9.079999999999998,8.209999999999999,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
114,1540,2,31,17,29,76,2.849999999999999,2.489999999999999,0,12,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
126,11875,2,42,17,117,136,52.56000000000001,6.009999999999999,0,12,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
128,9229,2,35,27,109,68,4.599999999999999,3.3899999999999997,0,12,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
152,11707,2,26,19,26,104,5.8999999999999995,6.24,0,15,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
204,1516,1,55,23,75,149,25.88,7.2700000000000005,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
206,6596,1,46,22,73,147,7.19,6.81,0,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
209,2038,2,27,18,151,197,8.47,6.46,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
