SUBJECT,HOUSEHOLD,SEX,AGE_YEAR,CONSUMPTION_DAY,sum_VITA_RAE_mcg,sum_FOLDFE_mcg,sum_IRON_mg,sum_ZINC_mg,sum_VITB12_mcg,WEEKEND,adm2_,adm2_9,adm2_3,adm2_1,adm2_8,adm2_5,adm2_7,adm2_2,adm2_4,adm2_6
106,3882,1,31,20,22,199,17.34,13.139999999999997,2.214,0,9,1,0,0,0,0,0,0,0,0
132,11122,1,65,3,2924,170,17.259999999999998,10.939999999999998,3.9244,0,9,1,0,0,0,0,0,0,0,0
191,10510,1,72,25,9,181,22.510000000000005,14.049999999999997,0.3708000000000001,0,3,0,1,0,0,0,0,0,0,0
200,11088,1,24,8,18,136,12.76,10.71,4.5,0,1,0,0,1,0,0,0,0,0,0
203,9214,1,80,14,1,141,12.25,8.759999999999998,0,0,9,1,0,0,0,0,0,0,0,0
250,7904,1,22,10,30,246,18.36,12.759999999999998,0.5625,0,8,0,0,0,1,0,0,0,0,0
292,11440,1,22,16,36,180,15.7,10.260000000000002,0,0,5,0,0,0,0,1,0,0,0,0
326,11130,1,40,9,123,371,33.699999999999996,22.02,0,0,7,0,0,0,0,0,1,0,0,0
339,10085,1,38,1,123,218,20.119999999999997,14.409999999999997,0.8172,1,1,0,0,1,0,0,0,0,0,0
391,9534,1,35,22,53,234,25.29,18.83,0,0,2,0,0,0,0,0,0,1,0,0
445,3722,1,22,5,23,194,18.439999999999998,14.12,0,0,8,0,0,0,1,0,0,0,0,0
451,4445,1,45,6,17,146,13.700000000000001,9.629999999999999,0.8739,0,4,0,0,0,0,0,0,0,1,0
515,8912,1,40,20,9,112,17.34,10.629999999999999,0.4076999999999999,0,9,1,0,0,0,0,0,0,0,0
524,3790,1,63,25,21,121,5.55,4.079999999999998,0.0696,0,5,0,0,0,0,1,0,0,0,0
534,787,1,70,30,774,455,15.17,9.959999999999999,0,0,4,0,0,0,0,0,0,0,1,0
536,11527,1,70,21,37,153,9.3,6.61,0.6849,0,3,0,1,0,0,0,0,0,0,0
614,10333,1,75,15,33,162,18.660000000000004,12.77,0,0,8,0,0,0,1,0,0,0,0,0
619,10626,1,52,5,32,357,33.07,21.910000000000004,0.1764,0,5,0,0,0,0,1,0,0,0,0
673,8345,1,37,9,10,120,12.910000000000002,9.919999999999998,0,0,8,0,0,0,1,0,0,0,0,0
686,9725,1,20,16,138,330,24.049999999999997,16.75,2.63,0,1,0,0,1,0,0,0,0,0,0
705,8940,1,19,10,5,45,4.33,3.19,0,0,8,0,0,0,1,0,0,0,0,0
707,3722,1,18,5,23,208,20.34,15.48,0,0,8,0,0,0,1,0,0,0,0,0
781,154,1,67,18,6,122,9.719999999999999,7.76,0.1836,0,5,0,0,0,0,1,0,0,0,0
807,11214,1,45,14,42,179,23.150000000000006,14.01,1.8,0,6,0,0,0,0,0,0,0,0,1
916,5401,1,26,31,38,229,29.410000000000004,20.53000000000001,0.9126,0,7,0,0,0,0,0,1,0,0,0
960,959,1,80,6,1425,164,13.929999999999998,5.21,0,0,4,0,0,0,0,0,0,0,1,0
996,307,1,32,4,112,310,29.529999999999998,20.78,0.5373,0,4,0,0,0,0,0,0,0,1,0
1037,4832,1,65,18,896,451,20.55,10.409999999999998,3.9357,0,8,0,0,0,1,0,0,0,0,0
1110,10568,1,65,13,1465,898,13.249999999999998,7.260000000000001,1.8,0,9,1,0,0,0,0,0,0,0,0
1209,7835,1,28,16,153,158,17.94,10.879999999999999,0.35550000000000004,0,9,1,0,0,0,0,0,0,0,0
1227,7472,1,30,4,140,88,10.86,7.1099999999999985,5.2242999999999995,0,3,0,1,0,0,0,0,0,0,0
1267,8980,1,28,31,63,207,30.78,17.470000000000002,0.28350000000000003,0,7,0,0,0,0,0,1,0,0,0
1279,2568,1,25,12,2,86,8.969999999999999,6.45,0.4338,0,8,0,0,0,1,0,0,0,0,0
1321,5245,1,44,19,21,168,20.930000000000003,14.630000000000003,0,0,9,1,0,0,0,0,0,0,0,0
1393,80,1,19,10,5,46,2.42,2.3200000000000003,0,0,8,0,0,0,1,0,0,0,0,0
1481,8895,1,36,10,6,136,16.72,11.599999999999998,0.28350000000000003,0,8,0,0,0,1,0,0,0,0,0
1490,4505,1,22,18,60,277,23.97,16.919999999999998,0,0,1,0,0,1,0,0,0,0,0,0
1535,9615,1,18,14,78,134,11.870000000000001,7.359999999999999,0,0,8,0,0,0,1,0,0,0,0,0
1599,8241,1,25,22,456,207,12.899999999999999,9.35,0.27,0,4,0,0,0,0,0,0,0,1,0
1615,1795,1,30,22,639,597,57.370000000000005,20.86,4.956,0,7,0,0,0,0,0,1,0,0,0
1621,1747,1,50,27,2,169,18.35,13.549999999999997,0,0,3,0,1,0,0,0,0,0,0,0
1653,11073,1,60,18,12,272,32.11,22.669999999999998,0.29790000000000005,0,6,0,0,0,0,0,0,0,0,1
1684,7574,1,49,21,4,161,15.96,10.84,0,0,6,0,0,0,0,0,0,0,0,1
1749,8912,1,60,20,8,57,9.559999999999999,5.14,0.4076999999999999,0,9,1,0,0,0,0,0,0,0,0
1850,8822,1,30,16,358,120,10.32,7.949999999999999,0,0,8,0,0,0,1,0,0,0,0,0
1887,7845,1,40,25,668,580,21.28,10.959999999999999,1.4889999999999999,0,5,0,0,0,0,1,0,0,0,0
1972,9480,1,20,29,42,78,7.58,4.4799999999999995,0.2133,0,7,0,0,0,0,0,1,0,0,0
2015,1551,1,34,30,128,143,11.339999999999998,7.969999999999998,0.0285,0,1,0,0,1,0,0,0,0,0,0
2024,4184,1,45,18,5,122,10.979999999999999,7.129999999999998,0,0,5,0,0,0,0,1,0,0,0,0
2026,1882,1,55,28,10,93,9.249999999999998,6.229999999999999,0.1791,0,4,0,0,0,0,0,0,0,1,0
2053,9159,1,45,25,30,134,14.450000000000001,10.33,0,0,1,0,0,1,0,0,0,0,0,0
2082,8419,1,40,19,11,96,7.3,4.3999999999999995,0,0,3,0,1,0,0,0,0,0,0,0
2086,6329,1,60,9,2,116,47.79,9.989999999999998,0,0,7,0,0,0,0,0,1,0,0,0
2088,9091,1,32,27,20,161,15.16,10.41,0.8981999999999999,0,6,0,0,0,0,0,0,0,0,1
2129,10829,1,20,13,23,231,16.779999999999998,9.549999999999999,4.08,0,8,0,0,0,1,0,0,0,0,0
2171,10394,1,58,7,553,357,19.46,12.73,0.243,1,8,0,0,0,1,0,0,0,0,0
2195,3385,1,18,10,11,150,10.469999999999999,7.809999999999999,0.28800000000000003,0,4,0,0,0,0,0,0,0,1,0
2239,6148,1,45,3,48,94,11,8.959999999999997,0,0,8,0,0,0,1,0,0,0,0,0
2298,1705,1,38,4,42,218,11.68,9.360000000000001,0.1728,0,5,0,0,0,0,1,0,0,0,0
2446,80,1,50,10,5,822,6.91,4.999999999999999,1.8095,0,8,0,0,0,1,0,0,0,0,0
2449,11549,1,38,18,11,139,13.900000000000002,9.770000000000001,0,0,5,0,0,0,0,1,0,0,0,0
2496,2646,1,60,23,13,113,11.82,9.030000000000001,0,0,4,0,0,0,0,0,0,0,1,0
2521,2285,1,43,10,235,283,15.35,10.13,0,0,2,0,0,0,0,0,0,1,0,0
