SUBJECT,HOUSEHOLD,SEX,AGE_YEAR,CONSUMPTION_DAY,sum_VITA_RAE_mcg,sum_FOLDFE_mcg,sum_IRON_mg,sum_ZINC_mg,WEEKEND,adm2_,adm2_7,adm2_1,adm2_2,adm2_4,adm2_3,adm2_6,adm2_8,adm2_5
3,1963,2,21,26,22,94,4.359999999999999,3.64,0,7,1,0,0,0,0,0,0,0
18,3461,2,28,26,7,57,6.719999999999999,4.22,0,1,0,1,0,0,0,0,0,0
38,6121,1,37,14,4,145,9.309999999999999,6.91,0,2,0,0,1,0,0,0,0,0
46,1208,2,32,14,92,77,7.3100000000000005,4.75,0,4,0,0,0,1,0,0,0,0
58,557,2,29,7,3,117,11.809999999999999,6.749999999999999,1,3,0,0,0,0,1,0,0,0
69,8035,2,19,8,10,238,9.430000000000001,6.74,0,1,0,1,0,0,0,0,0,0
79,6012,1,22,30,16,161,10.059999999999999,6.87,0,6,0,0,0,0,0,1,0,0
87,1799,2,21,7,0,35,4.77,3.26,1,1,0,1,0,0,0,0,0,0
97,3580,1,38,29,203,112,29.21,8.020000000000001,0,3,0,0,0,0,1,0,0,0
104,5506,2,45,28,106,141,14.639999999999999,7.629999999999999,0,3,0,0,0,0,1,0,0,0
120,10453,1,40,19,306,374,22.48,11.86,0,7,1,0,0,0,0,0,0,0
135,11181,2,28,26,331,115,8.07,5.08,0,3,0,0,0,0,1,0,0,0
149,4663,1,54,19,380,293,21.580000000000002,10.04,0,8,0,0,0,0,0,0,1,0
166,2899,2,18,11,6,109,8.18,4.07,0,4,0,0,0,1,0,0,0,0
174,264,2,45,15,4,65,6.83,2.499999999999999,0,2,0,0,1,0,0,0,0,0
201,1672,1,58,10,36,124,5.449999999999999,3.96,0,1,0,1,0,0,0,0,0,0
214,5356,1,50,19,158,126,15.459999999999999,8.03,0,3,0,0,0,0,1,0,0,0
248,3181,2,36,29,44,104,15.079999999999998,8.01,0,3,0,0,0,0,1,0,0,0
272,10596,2,27,9,8,120,7.03,5.050000000000001,0,8,0,0,0,0,0,0,1,0
277,6994,2,27,6,6,90,6.199999999999999,3.3,0,6,0,0,0,0,0,1,0,0
289,9067,1,19,21,0,34,2.67,2.96,0,8,0,0,0,0,0,0,1,0
298,273,2,27,6,1303,48,5.09,5,0,8,0,0,0,0,0,0,1,0
302,10324,2,23,14,35,122,5.5,3.75,0,2,0,0,1,0,0,0,0,0
310,11471,2,36,28,272,70,8.239999999999998,4.17,0,7,1,0,0,0,0,0,0,0
315,3161,1,23,24,12,53,6.880000000000001,5.04,0,3,0,0,0,0,1,0,0,0
405,10174,1,53,9,58,125,10.15,6.75,0,4,0,0,0,1,0,0,0,0
415,2403,2,19,28,4,188,7.06,5.369999999999998,0,3,0,0,0,0,1,0,0,0
466,8223,1,20,11,1,78,8.409999999999998,5.82,0,8,0,0,0,0,0,0,1,0
473,1312,2,42,2,656,77,19.66,5.129999999999999,0,1,0,1,0,0,0,0,0,0
480,4016,2,28,12,0,16,2.72,2.26,0,8,0,0,0,0,0,0,1,0
492,340,2,50,20,26,84,9.660000000000002,6.829999999999999,0,5,0,0,0,0,0,0,0,1
495,6097,2,50,29,9,99,8.299999999999999,5.63,0,4,0,0,0,1,0,0,0,0
500,5846,2,40,8,23,60,6.449999999999998,4.559999999999999,0,8,0,0,0,0,0,0,1,0
513,3647,2,30,15,180,103,14.07,8.409999999999998,0,2,0,0,1,0,0,0,0,0
529,5064,2,45,29,6,71,7.979999999999999,4.859999999999999,0,1,0,1,0,0,0,0,0,0
580,1744,1,36,6,5,72,6.18,4.26,0,6,0,0,0,0,0,1,0,0
600,156,1,40,28,37,81,8.149999999999999,4.800000000000001,0,6,0,0,0,0,0,1,0,0
610,2663,2,53,26,253,304,20.650000000000002,9.689999999999998,0,7,1,0,0,0,0,0,0,0
611,3285,1,26,3,3,106,6.699999999999999,4.5200000000000005,0,7,1,0,0,0,0,0,0,0
622,110,2,42,29,0,0,3.98,1.28,0,1,0,1,0,0,0,0,0,0
630,7938,2,54,17,31,154,9.34,7.08,0,2,0,0,1,0,0,0,0,0
632,8919,1,36,12,1,95,9.67,7.470000000000001,0,8,0,0,0,0,0,0,1,0
642,1409,1,65,27,30,86,10.96,6.84,0,4,0,0,0,1,0,0,0,0
655,399,2,60,25,448,116,17.32,5.5699999999999985,0,3,0,0,0,0,1,0,0,0
658,8017,1,52,26,2,76,6.7700000000000005,4.9799999999999995,0,7,1,0,0,0,0,0,0,0
711,3217,2,38,16,32,98,8.709999999999999,5.329999999999998,0,2,0,0,1,0,0,0,0,0
767,1495,1,19,1,18,98,11.5,6.42,1,6,0,0,0,0,0,1,0,0
778,10763,1,55,9,311,186,8.89,7.309999999999999,0,4,0,0,0,1,0,0,0,0
792,3457,2,37,24,9,122,9.739999999999998,8.290000000000001,0,7,1,0,0,0,0,0,0,0
794,274,2,30,13,55,69,7.250000000000001,4.469999999999999,0,5,0,0,0,0,0,0,0,1
811,1842,2,25,23,1,90,6.760000000000001,5.84,0,7,1,0,0,0,0,0,0,0
824,1845,1,28,28,671,181,31.099999999999994,10.199999999999998,0,3,0,0,0,0,1,0,0,0
871,10276,2,71,23,74,68,4.36,3.3500000000000005,0,7,1,0,0,0,0,0,0,0
872,10763,2,85,9,99,94,4.819999999999999,2.7299999999999995,0,4,0,0,0,1,0,0,0,0
874,9492,2,52,11,30,88,6.02,4.300000000000001,0,8,0,0,0,0,0,0,1,0
880,6014,2,24,26,2,125,9.26,6.749999999999998,0,5,0,0,0,0,0,0,0,1
895,5860,1,30,9,730,38,3.17,3.47,0,8,0,0,0,0,0,0,1,0
897,8647,2,35,16,980,245,14.09,6.75,0,3,0,0,0,0,1,0,0,0
899,3733,1,43,28,27,159,8.039999999999997,6.419999999999999,0,7,1,0,0,0,0,0,0,0
932,10284,2,70,25,0,65,6.300000000000001,4.97,0,5,0,0,0,0,0,0,0,1
933,9696,1,65,10,1,106,6.090000000000001,5.51,0,6,0,0,0,0,0,1,0,0
935,4589,1,53,12,0,94,9.799999999999997,6.33,0,1,0,1,0,0,0,0,0,0
950,3035,2,45,5,12,56,9.05,5.13,0,6,0,0,0,0,0,1,0,0
969,10469,2,39,15,14,246,6.33,6.75,0,1,0,1,0,0,0,0,0,0
987,1498,2,64,24,11,117,8.290000000000001,4.369999999999999,0,8,0,0,0,0,0,0,1,0
992,5266,2,27,7,1,30,4.47,2.9799999999999995,1,8,0,0,0,0,0,0,1,0
1042,9458,2,20,26,6,82,6.75,5.13,0,7,1,0,0,0,0,0,0,0
1051,393,2,29,10,35,64,5.159999999999999,3.86,0,6,0,0,0,0,0,1,0,0
1058,10152,2,31,23,0,90,10.069999999999999,6.87,0,5,0,0,0,0,0,0,0,1
1060,11250,2,28,22,20,75,6.6,5.239999999999999,0,5,0,0,0,0,0,0,0,1
1070,3277,1,52,20,1984,75,9.09,4.91,0,8,0,0,0,0,0,0,1,0
1101,5272,2,24,23,128,92,6.24,5,0,7,1,0,0,0,0,0,0,0
1113,6916,1,40,13,2,58,3.91,4.09,0,1,0,1,0,0,0,0,0,0
1130,11167,2,25,18,1,58,5.289999999999999,4.409999999999999,0,5,0,0,0,0,0,0,0,1
1141,4874,2,33,3,18,109,5.7,4.800000000000001,0,7,1,0,0,0,0,0,0,0
1164,693,2,24,26,14,83,4.25,4.140000000000001,0,7,1,0,0,0,0,0,0,0
1184,9449,2,40,20,4517,144,14.430000000000001,7.17,0,8,0,0,0,0,0,0,1,0
1195,8269,2,39,22,10,128,13.91,8.62,0,8,0,0,0,0,0,0,1,0
1211,2169,2,55,24,1841,80,7.94,4.93,0,8,0,0,0,0,0,0,1,0
1235,1572,1,47,21,156,169,16.17,10.57,0,3,0,0,0,0,1,0,0,0
1254,4301,2,42,29,265,132,14.12,7.159999999999998,0,3,0,0,0,0,1,0,0,0
1274,8901,2,39,14,375,300,19.56,13.26,0,1,0,1,0,0,0,0,0,0
1289,2211,2,56,24,20,70,5.970000000000001,4.8,0,8,0,0,0,0,0,0,1,0
1291,2950,2,18,11,0,61,7.949999999999999,4.89,0,1,0,1,0,0,0,0,0,0
1293,303,1,82,27,0,16,2.3399999999999994,1.4200000000000002,0,4,0,0,0,1,0,0,0,0
1302,1444,1,45,12,28,360,17.389999999999997,10.940000000000001,0,6,0,0,0,0,0,1,0,0
1309,5751,2,45,25,20,48,6.68,4.460000000000001,0,1,0,1,0,0,0,0,0,0
1334,477,2,60,2,26,55,4.46,3.88,0,6,0,0,0,0,0,1,0,0
1341,7403,2,29,4,0,51,6.47,4.62,0,8,0,0,0,0,0,0,1,0
1373,69,2,36,17,18,136,4.83,4.12,0,7,1,0,0,0,0,0,0,0
1377,4856,1,65,10,262,109,9.059999999999997,6.729999999999998,0,2,0,0,1,0,0,0,0,0
1390,240,1,29,30,189,139,15.09,10.36,0,6,0,0,0,0,0,1,0,0
1419,9821,2,21,23,3,162,14.53,10.5,0,7,1,0,0,0,0,0,0,0
1433,467,1,39,6,12,139,13.7,8.83,0,8,0,0,0,0,0,0,1,0
1453,10194,2,22,8,33,56,5.23,4.1099999999999985,0,1,0,1,0,0,0,0,0,0
1455,7409,1,77,9,17,82,8.41,3.77,0,6,0,0,0,0,0,1,0,0
1463,340,1,60,20,36,91,11.25,7.6899999999999995,0,5,0,0,0,0,0,0,0,1
1473,847,2,44,23,0,88,10.12,6.82,0,5,0,0,0,0,0,0,0,1
1476,1659,1,21,20,0,59,6.1000000000000005,5.4399999999999995,0,8,0,0,0,0,0,0,1,0
1504,6455,1,45,11,69,318,11.48,7.419999999999999,0,1,0,1,0,0,0,0,0,0
1513,8233,2,75,10,323,212,10.41,5.16,0,2,0,0,1,0,0,0,0,0
1543,1008,2,50,10,104,101,7.68,4.48,0,4,0,0,0,1,0,0,0,0
1552,6765,2,37,26,4,108,9.11,5.22,0,3,0,0,0,0,1,0,0,0
1555,2343,2,31,7,40,121,10.18,6.59,1,8,0,0,0,0,0,0,1,0
1588,3481,1,74,5,4,137,13.7,9.629999999999999,0,3,0,0,0,0,1,0,0,0
1595,6077,2,30,10,47,198,17.49,11.459999999999999,0,6,0,0,0,0,0,1,0,0
1624,11637,2,37,25,537,97,15.72,5.510000000000001,0,1,0,1,0,0,0,0,0,0
1667,1316,2,60,6,1426,155,9.94,7.799999999999999,0,3,0,0,0,0,1,0,0,0
1674,9367,1,51,17,234,180,9.2,5.380000000000001,0,7,1,0,0,0,0,0,0,0
1690,1242,1,21,12,476,78,13.450000000000001,6,0,8,0,0,0,0,0,0,1,0
