SUBJECT,HOUSEHOLD,SEX,AGE_YEAR,CONSUMPTION_DAY,sum_VITA_RAE_mcg,sum_FOLDFE_mcg,sum_IRON_mg,sum_ZINC_mg,sum_VITB12_mcg,WEEKEND,adm2_,adm2_8,adm2_9,adm2_2,adm2_1,adm2_6,adm2_3,adm2_7,adm2_4,adm2_5
15,9354,2,38,16,333,236,28.470000000000002,19.46,NA,0,8,1,0,0,0,0,0,0,0,0
19,2410,2,38,16,514,158,10.33,6.5,NA,0,9,0,1,0,0,0,0,0,0,0
30,8796,2,65,14,14,108,11.309999999999999,8.42,NA,0,2,0,0,1,0,0,0,0,0,0
48,3714,2,43,30,25,88,7.54,5.27,NA,0,1,0,0,0,1,0,0,0,0,0
86,11860,2,18,12,251,189,13.689999999999998,8.019999999999998,NA,0,6,0,0,0,0,1,0,0,0,0
110,5192,2,18,20,36,127,9.880000000000004,6.339999999999998,NA,0,8,1,0,0,0,0,0,0,0,0
151,11183,2,30,21,12,135,12.67,8.94,NA,0,3,0,0,0,0,0,1,0,0,0
172,8866,2,30,23,190,121,12.139999999999999,8.490000000000002,NA,0,1,0,0,0,1,0,0,0,0,0
190,299,2,36,22,378,248,13.209999999999999,9.14,NA,0,8,1,0,0,0,0,0,0,0,0
192,2594,2,52,12,40,290,20.009999999999998,10.799999999999999,NA,0,6,0,0,0,0,1,0,0,0,0
218,371,2,78,9,17,88,7.09,4.750000000000001,NA,0,7,0,0,0,0,0,0,1,0,0
224,7243,2,20,26,13,200,22.63,15.259999999999996,NA,0,4,0,0,0,0,0,0,0,1,0
225,10134,2,56,12,96,147,13.04,8.430000000000001,NA,0,8,1,0,0,0,0,0,0,0,0
230,163,2,25,7,2,93,6.26,5.72,NA,1,9,0,1,0,0,0,0,0,0,0
245,7644,2,20,28,29,108,9.379999999999999,7.37,NA,0,4,0,0,0,0,0,0,0,1,0
247,3274,2,32,21,4,57,7.659999999999999,4.81,NA,0,7,0,0,0,0,0,0,1,0,0
261,4514,2,35,6,223,272,26.569999999999997,18.359999999999996,NA,0,4,0,0,0,0,0,0,0,1,0
282,5132,2,58,16,13,148,12.34,9.209999999999997,NA,0,1,0,0,0,1,0,0,0,0,0
283,2940,2,60,8,12,220,17.15,12.059999999999999,NA,0,3,0,0,0,0,0,1,0,0,0
